F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,resampling
0.7751,0.7896,0.7637,0.7979,RF,495,,False,False
0.7752,0.7898,0.7637,0.7981,RF,495,StandardScaler,False,False
0.7745,0.7893,0.7629,0.7975,RF,495,Min-maxScaler,False,False
0.7747,0.7896,0.7629,0.7977,RF,495,Max-absoluteScaler,False,False
0.7752,0.7899,0.7637,0.7981,RF,495,RobustScaler,False,False
0.7733,0.7885,0.7616,0.7964,RF,495,PowerTransformer,False,False
0.7756,0.7899,0.7646,0.7982,RF,495,QuantileTransformer_Uniform,False,False
0.7752,0.7895,0.7641,0.7979,RF,495,QuantileTransformer_Normal,False,False
0.7727,0.7269,0.832,0.7771,RF,495,Normalisation,False,False
0.6606,0.6543,0.7591,0.6926,MLP,495,,False,False
0.746,0.7528,0.7429,0.7692,MLP,495,StandardScaler,False,False
0.7277,0.7328,0.7258,0.7522,MLP,495,Min-maxScaler,False,False
0.7318,0.7343,0.7325,0.7555,MLP,495,Max-absoluteScaler,False,False
0.7371,0.7627,0.717,0.7671,MLP,495,RobustScaler,False,False
0.7618,0.7597,0.7671,0.7815,MLP,495,PowerTransformer,False,False
0.747,0.751,0.7463,0.7696,MLP,495,QuantileTransformer_Uniform,False,False
0.7476,0.7464,0.7521,0.7685,MLP,495,QuantileTransformer_Normal,False,False
0.7085,0.6645,0.7687,0.7137,MLP,495,Normalisation,False,False
0.0,0.0,0.0,0.5435,SVM,495,,False,False
0.7594,0.7882,0.7356,0.7879,SVM,495,StandardScaler,False,False
0.3982,0.9054,0.2583,0.6484,SVM,495,Min-maxScaler,False,False
0.3571,0.9118,0.225,0.6356,SVM,495,Max-absoluteScaler,False,False
0.7489,0.771,0.73,0.7769,SVM,495,RobustScaler,False,False
0.7701,0.7855,0.7583,0.7937,SVM,495,PowerTransformer,False,False
0.7761,0.7692,0.7854,0.7932,SVM,495,QuantileTransformer_Uniform,False,False
0.741,0.8054,0.6896,0.7806,SVM,495,QuantileTransformer_Normal,False,False
0.0269,0.5958,0.0138,0.5481,SVM,495,Normalisation,False,False
0.7209,0.7762,0.675,0.7625,KNN,495,,False,False
0.7311,0.6661,0.8153,0.7251,KNN,495,StandardScaler,False,False
0.7132,0.6733,0.763,0.7197,KNN,495,Min-maxScaler,False,False
0.7016,0.6673,0.7451,0.7107,KNN,495,Max-absoluteScaler,False,False
0.7415,0.737,0.7496,0.7614,KNN,495,RobustScaler,False,False
0.7726,0.7187,0.84,0.7742,KNN,495,PowerTransformer,False,False
0.7797,0.7573,0.8063,0.7918,KNN,495,QuantileTransformer_Uniform,False,False
0.7532,0.7045,0.8129,0.7567,KNN,495,QuantileTransformer_Normal,False,False
0.7352,0.6899,0.7896,0.7407,KNN,495,Normalisation,False,False
0.4986,0.4314,0.7446,0.4744,LGR,495,,False,False
0.6976,0.6937,0.7062,0.7217,LGR,495,StandardScaler,False,False
0.6976,0.7349,0.6963,0.7337,LGR,495,Min-maxScaler,False,False
0.7062,0.752,0.6904,0.7442,LGR,495,Max-absoluteScaler,False,False
0.7091,0.7043,0.7175,0.7331,LGR,495,RobustScaler,False,False
0.7069,0.7279,0.6916,0.7402,LGR,495,PowerTransformer,False,False
0.7083,0.7508,0.7138,0.7477,LGR,495,QuantileTransformer_Uniform,False,False
0.7143,0.7395,0.7275,0.7431,LGR,495,QuantileTransformer_Normal,False,False
0.7474,0.6665,0.8625,0.7321,LGR,495,Normalisation,False,False
0.6987,0.6972,0.7042,0.724,DT,495,,False,False
0.6987,0.6975,0.7038,0.7242,DT,495,StandardScaler,False,False
0.6986,0.6969,0.7042,0.7238,DT,495,Min-maxScaler,False,False
0.6988,0.6973,0.7042,0.7242,DT,495,Max-absoluteScaler,False,False
0.6983,0.6964,0.7042,0.7234,DT,495,RobustScaler,False,False
0.6973,0.6932,0.7059,0.7213,DT,495,PowerTransformer,False,False
0.6984,0.696,0.7047,0.7232,DT,495,QuantileTransformer_Uniform,False,False
0.6992,0.6966,0.7054,0.7239,DT,495,QuantileTransformer_Normal,False,False
0.5382,0.5272,0.5771,0.5949,DT,495,Normalisation,False,False
0.5479,0.5917,0.5296,0.6013,R,495,,False,False
0.688,0.6953,0.685,0.7176,R,495,StandardScaler,False,False
0.7531,0.7668,0.7425,0.7785,R,495,Min-maxScaler,False,False
0.7491,0.7709,0.7313,0.7774,R,495,Max-absoluteScaler,False,False
0.6849,0.735,0.6441,0.73,R,495,RobustScaler,False,False
0.7043,0.693,0.7196,0.7246,R,495,PowerTransformer,False,False
0.7806,0.7809,0.7829,0.7993,R,495,QuantileTransformer_Uniform,False,False
0.68,0.6652,0.6988,0.7002,R,495,QuantileTransformer_Normal,False,False
0.754,0.6566,0.8888,0.7345,R,495,Normalisation,False,False
0.7738,0.782,0.7692,0.7953,XG,495,,False,False
0.7738,0.782,0.7692,0.7953,XG,495,StandardScaler,False,False
0.7744,0.7828,0.7696,0.7959,XG,495,Min-maxScaler,False,False
0.7744,0.7828,0.7696,0.7959,XG,495,Max-absoluteScaler,False,False
