Feature Selection Intensity,F1-score
350,0.754325
340,0.749325
330,0.75575
320,0.7506
310,0.753425
300,0.751675
290,0.749
280,0.752975
270,0.75335
260,0.7538
250,0.7588250000000001
240,0.7582
230,0.7602249999999999
220,0.7621
210,0.7564
200,0.761725
190,0.7613749999999999
180,0.75535
170,0.7600499999999999
160,0.7551249999999999
150,0.7525999999999999
140,0.7556749999999999
130,0.752275
120,0.756825
110,0.757325
100,0.7519750000000001
90,0.745675
80,0.74445
70,0.73575
60,0.73425
50,0.7400249999999999
40,0.743625
30,0.735875
20,0.7400749999999999
10,0.735425
