Feature Selection Intensity,F1-score
350,0.586225
340,0.5849
330,0.6045
320,0.6095750000000001
310,0.612475
300,0.63325
290,0.631575
280,0.6353
270,0.654075
260,0.65925
250,0.6605000000000001
240,0.6673
230,0.6837250000000001
220,0.692125
210,0.693575
200,0.6970750000000001
190,0.69885
180,0.698525
170,0.70345
160,0.708825
150,0.70565
140,0.7177749999999999
130,0.7182999999999999
120,0.70645
110,0.7154999999999999
100,0.72005
90,0.718675
80,0.71545
70,0.7256
60,0.732775
50,0.729825
40,0.7434999999999999
30,0.7448750000000001
20,0.733625
10,0.7258500000000001
