Feature Selection Intensity,F1-score
350,0.755525
340,0.7557
330,0.7545249999999999
320,0.7550000000000001
310,0.7541249999999999
300,0.75245
290,0.75715
280,0.75665
270,0.7549250000000001
260,0.75835
250,0.7536
240,0.75275
230,0.7500500000000001
220,0.754225
210,0.753675
200,0.7546
190,0.7583
180,0.748575
170,0.7556499999999999
160,0.7575999999999999
150,0.75505
140,0.757625
130,0.7556999999999999
120,0.754075
110,0.7575750000000001
100,0.7554000000000001
90,0.754575
80,0.7581
70,0.750575
60,0.74675
50,0.7488250000000001
40,0.73955
30,0.742975
20,0.7420500000000001
10,0.738575
