Feature Selection Intensity,F1-score
350,0.7055
340,0.705575
330,0.69865
320,0.705975
310,0.703375
300,0.7097249999999999
290,0.710225
280,0.711125
270,0.70525
260,0.707725
250,0.705225
240,0.7028000000000001
230,0.709575
220,0.7057500000000001
210,0.7105750000000001
200,0.7152499999999999
190,0.710125
180,0.704675
170,0.705275
160,0.707925
150,0.7080500000000001
140,0.713175
130,0.7030000000000001
120,0.70385
110,0.7059000000000001
100,0.708075
90,0.7028749999999999
80,0.70175
70,0.7133499999999999
60,0.707925
50,0.7036749999999999
40,0.694
30,0.711125
20,0.680475
10,0.67245
