Feature Selection Intensity,F1-score
350,0.438025
340,0.45210000000000006
330,0.4603250000000001
320,0.45915
310,0.4812
300,0.49582499999999996
290,0.4975249999999999
280,0.5198
270,0.523325
260,0.53945
250,0.5351250000000001
240,0.5372
230,0.5461750000000001
220,0.5488
210,0.577475
200,0.5734250000000001
190,0.5771000000000001
180,0.593475
170,0.596
160,0.6026999999999999
150,0.61825
140,0.621025
130,0.6133500000000001
120,0.629325
110,0.6428
100,0.647775
90,0.6476
80,0.660575
70,0.66185
60,0.6636749999999999
50,0.672725
40,0.67235
30,0.6842750000000001
20,0.6825249999999999
10,0.67895
