Feature Selection Intensity,F1-score
350,0.769675
340,0.7697499999999999
330,0.768
320,0.771475
310,0.76845
300,0.7703249999999999
290,0.77295
280,0.7727
270,0.7725500000000001
260,0.771125
250,0.77005
240,0.772725
230,0.7758
220,0.775675
210,0.778875
200,0.7797
190,0.776375
180,0.77195
170,0.769925
160,0.7688
150,0.766675
140,0.7639250000000001
130,0.764875
120,0.7644
110,0.7644249999999999
100,0.7599500000000001
90,0.7603500000000001
80,0.750425
70,0.7482
60,0.7535499999999999
50,0.752775
40,0.7598
30,0.7478999999999999
20,0.7333000000000001
10,0.7095
