Feature Selection Intensity,F1-score
350,0.6959249999999999
340,0.70795
330,0.7081
320,0.7118249999999999
310,0.7144
300,0.711425
290,0.7225499999999999
280,0.719175
270,0.7225249999999999
260,0.7140000000000001
250,0.7057
240,0.6985250000000001
230,0.700225
220,0.7118
210,0.7139
200,0.70915
190,0.7061249999999999
180,0.7136750000000001
170,0.7169000000000001
160,0.7241250000000001
150,0.7116999999999999
140,0.71695
130,0.717225
120,0.7319
110,0.74275
100,0.7471249999999999
90,0.752525
80,0.7503
70,0.750675
60,0.75075
50,0.7512
40,0.74725
30,0.7508750000000001
20,0.7458750000000001
10,0.73055
