Feature Selection Intensity,F1-score
490,0.780025
480,0.7794000000000001
470,0.7777749999999999
460,0.77735
450,0.7783249999999999
440,0.776675
430,0.7748999999999999
420,0.77405
410,0.774775
400,0.77485
390,0.774575
380,0.773625
370,0.773425
360,0.772225
350,0.7721750000000001
340,0.7724
330,0.7713
320,0.77055
310,0.7720750000000001
300,0.7725000000000001
290,0.7739
280,0.7739750000000001
270,0.775
260,0.774425
250,0.7732
240,0.772675
230,0.7724
220,0.772325
210,0.772775
200,0.773825
190,0.772325
180,0.773425
170,0.775025
160,0.7745249999999999
150,0.772975
140,0.77455
130,0.7743
120,0.7743249999999999
110,0.7726999999999999
100,0.771825
90,0.771925
80,0.7705
70,0.77195
60,0.770725
50,0.770375
40,0.769275
30,0.7629250000000001
20,0.7650750000000001
10,0.7602249999999999
