Feature Selection Intensity,F1-score
390,0.779525
380,0.779525
370,0.779525
360,0.779525
350,0.779525
340,0.779525
330,0.779525
320,0.779525
310,0.779525
300,0.779525
290,0.779525
280,0.779525
270,0.779525
260,0.779525
250,0.779525
240,0.779525
230,0.7793
220,0.779525
210,0.77915
200,0.778925
190,0.778675
180,0.7786
170,0.7788999999999999
160,0.7783
150,0.778725
140,0.7776500000000001
130,0.777425
120,0.7786500000000001
110,0.778975
100,0.7794
90,0.778825
80,0.7776500000000001
70,0.7776
60,0.775225
50,0.7739499999999999
40,0.77415
30,0.766575
20,0.7701
10,0.7691250000000001
