Feature Selection Intensity,F1-score
490,0.780825
480,0.7811250000000001
470,0.7784250000000001
460,0.77605
450,0.7769
440,0.7772500000000001
430,0.7759
420,0.7735
410,0.77315
400,0.76895
390,0.765925
380,0.7664
370,0.769475
360,0.7641500000000001
350,0.766525
340,0.770675
330,0.77035
320,0.7690249999999998
310,0.7708499999999999
300,0.766725
290,0.758225
280,0.7585
270,0.759675
260,0.7618750000000001
250,0.764825
240,0.7593500000000001
230,0.7569999999999999
220,0.757125
210,0.7574500000000001
200,0.7547750000000001
190,0.75575
180,0.751
170,0.749475
160,0.7486750000000001
150,0.745925
140,0.7393750000000001
130,0.74305
120,0.7397499999999999
110,0.7433500000000001
100,0.741325
90,0.7329
80,0.7393000000000001
70,0.7399749999999999
60,0.7490249999999999
50,0.75415
40,0.7484249999999999
30,0.74835
20,0.74885
10,0.7372249999999999
