Feature Selection Intensity,F1-score
490,0.760425
480,0.759025
470,0.7605250000000001
460,0.751625
450,0.7546
440,0.753325
430,0.7513
420,0.745175
410,0.751775
400,0.7515000000000001
390,0.750625
380,0.749525
370,0.749
360,0.7499499999999999
350,0.7483
340,0.744125
330,0.74625
320,0.746275
310,0.7441000000000001
300,0.752
290,0.741475
280,0.7435
270,0.74075
260,0.744
250,0.7417999999999999
240,0.7397
230,0.743
220,0.73835
210,0.74335
200,0.7412
190,0.7449250000000001
180,0.741225
170,0.7393500000000001
160,0.744325
150,0.7453749999999999
140,0.74925
130,0.74375
120,0.740825
110,0.732975
100,0.732425
90,0.7397750000000001
80,0.7407250000000001
70,0.7397
60,0.74865
50,0.756775
40,0.7549750000000002
30,0.74705
20,0.7476
10,0.7501749999999999
