F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Var_Threshold,resampling
0.7785,0.7833,0.7771,0.7985,RF,495,StandardScaler,None,TRUE,TRUE
0.7816,0.7829,0.7833,0.8004,RF,160,StandardScaler,kbf,TRUE,TRUE
0.7799,0.7805,0.7825,0.7986,RF,230,StandardScaler,rf,TRUE,TRUE
0.7752,0.7664,0.7867,0.7919,RF,20,StandardScaler,pca,TRUE,TRUE
0.7618,0.7597,0.7671,0.7815,MLP,495,PowerTransformer,None,FALSE,FALSE
0.7605,0.7641,0.7604,0.7816,MLP,470,PowerTransformer,kbf,FALSE,FALSE
0.766,0.7775,0.7575,0.7886,MLP,190,PowerTransformer,rf,FALSE,FALSE
0.7538,0.7531,0.7583,0.7745,MLP,160,PowerTransformer,pca,FALSE,FALSE
0.7832,0.7646,0.805,0.7966,SVM,495,QuantileTransformer_Uniform,None,TRUE,TRUE
0.7864,0.7661,0.8101,0.7993,SVM,160,QuantileTransformer_Uniform,kb,TRUE,TRUE
0.7839,0.7659,0.805,0.7974,SVM,330,QuantileTransformer_Uniform,rf,TRUE,TRUE
0.7808,0.764,0.8008,0.7947,SVM,180,QuantileTransformer_Uniform,pca,TRUE,TRUE
0.7797,0.7573,0.8063,0.7918,KNN,495,QuantileTransformer_Uniform,None,FALSE,FALSE
0.7811,0.7583,0.808,0.7933,KNN,480,QuantileTransformer_Uniform,kbf,FALSE,FALSE
0.7836,0.7748,0.7958,0.7993,KNN,330,QuantileTransformer_Uniform,rf,FALSE,FALSE
0.781,0.7572,0.8088,0.7928,KNN,180,QuantileTransformer_Uniform,pca,FALSE,FALSE
0.7474,0.6665,0.8625,0.7321,LGR,495,Normalisation,None,FALSE,FALSE
0.7592,0.6782,0.873,0.7446,LGR,220,Normalisation,kbf,FALSE,FALSE
0.7613,0.6864,0.8725,0.7472,LGR,140,Normalisation,rf,FALSE,FALSE
0.7678,0.7254,0.8251,0.7713,LGR,90,Normalisation,pca,FALSE,FALSE
0.7119,0.7076,0.7205,0.735,DT,495,Min-maxScaler,None,TRUE,TRUE
0.7152,0.7214,0.7128,0.7409,DT,200,Min-maxScaler,kbf,TRUE,TRUE
0.7187,0.7192,0.7204,0.743,DT,90,Min-maxScaler,rf,TRUE,TRUE
0.6843,0.6817,0.6891,0.7103,DT,30,Min-maxScaler,pca,TRUE,TRUE
0.7806,0.7809,0.7829,0.7993,R,495,QuantileTransformer_Uniform,None,FALSE,FALSE
0.7858,0.7787,0.7958,0.8022,R,170,QuantileTransformer_Uniform,kbf,FALSE,FALSE
0.7845,0.7819,0.79,0.8021,R,290,QuantileTransformer_Uniform,rf,FALSE,FALSE
0.7852,0.7841,0.7892,0.8031,R,50,QuantileTransformer_Uniform,pca,FALSE,FALSE
0.7744,0.7828,0.7696,0.7959,XG,495,Max-absoluteScaler,None,FALSE,FALSE
0.7785,0.7889,0.7717,0.8001,XG,400,Max-absoluteScaler,kbf,FALSE,FALSE
0.7769,0.7858,0.7717,0.7982,XG,400,Max-absoluteScaler,rf,FALSE,FALSE
0.7498,0.7549,0.7475,0.7726,XG,140,Max-absoluteScaler,pca,FALSE,FALSE
0.7795,0.7291,0.8404,0.7828,GPC,495,Normalisation,None,FALSE,FALSE
0.78,0.7303,0.84,0.7835,GPC,490,Normalisation,kbf,FALSE,FALSE
0.7793,0.7284,0.8408,0.7822,GPC,490,Normalisation,rf,FALSE,FALSE
0.7795,0.7291,0.8404,0.7828,GPC,390,Normalisation,pca,FALSE,FALSE
0.7559,0.7463,0.7683,0.7737,ADA,495,QuantileTransformer_Normal,None,TRUE,TRUE
0.7621,0.7504,0.7771,0.7791,ADA,220,QuantileTransformer_Normal,kbf,TRUE,TRUE
0.7583,0.7474,0.772,0.7755,ADA,260,QuantileTransformer_Normal,rf,TRUE,TRUE
0.7449,0.7332,0.7596,0.7627,ADA,30,QuantileTransformer_Normal,pca,TRUE,TRUE
0.774,0.7815,0.7692,0.7953,GB,495,,None,TRUE,FALSE
0.7797,0.7882,0.7745,0.8012,GB,200,,kbf,TRUE,FALSE
0.7729,0.7806,0.7683,0.7943,GB,340,,rf,TRUE,FALSE
0.7525,0.7645,0.7446,0.7772,GB,90,,pca,TRUE,FALSE
