Feature Selection Intensity,F1-score
350,0.777175
340,0.778275
330,0.77665
320,0.7756749999999999
310,0.7780250000000001
300,0.77555
290,0.77965
280,0.778575
270,0.777025
260,0.78065
250,0.777675
240,0.7789250000000001
230,0.7787499999999999
220,0.7801250000000001
210,0.777525
200,0.781025
190,0.7795
180,0.78045
170,0.7791250000000001
160,0.781575
150,0.776275
140,0.781475
130,0.7780250000000001
120,0.7768750000000001
110,0.7771
100,0.7746500000000001
90,0.77685
80,0.7760999999999999
70,0.777975
60,0.774625
50,0.7742000000000001
40,0.772525
30,0.7713249999999999
20,0.76725
10,0.749475
