Feature Selection Intensity,F1-score
350,0.334975
340,0.323175
330,0.350275
320,0.3551
310,0.40322500000000006
300,0.463525
290,0.48810000000000003
280,0.524675
270,0.58255
260,0.5949500000000001
250,0.6211249999999999
240,0.65565
230,0.658075
220,0.6885999999999999
210,0.7016
200,0.7134750000000001
190,0.724575
180,0.7330249999999999
170,0.7427999999999999
160,0.74525
150,0.746
140,0.74965
130,0.757425
120,0.7568499999999999
110,0.755875
100,0.7620750000000001
90,0.76145
80,0.7660750000000001
70,0.762875
60,0.761975
50,0.765975
40,0.7680250000000001
30,0.770975
20,0.7751500000000001
10,0.77235
