Feature Selection Intensity,F1-score
350,0.7761
340,0.77935
330,0.778475
320,0.7751
310,0.775325
300,0.774825
290,0.7791
280,0.7764
270,0.777725
260,0.77975
250,0.7787499999999999
240,0.778025
230,0.77985
220,0.7771
210,0.7789
200,0.77845
190,0.776625
180,0.7789750000000001
170,0.7766
160,0.7764
150,0.7790250000000001
140,0.7771000000000001
130,0.7777999999999999
120,0.7745
110,0.7739
100,0.7741
90,0.7678499999999999
80,0.772725
70,0.7714
60,0.77105
50,0.7697
40,0.7646750000000001
30,0.760975
20,0.75895
10,0.7519750000000001
