Feature Selection Intensity,F1-score
390,0.7505
380,0.750475
370,0.7503749999999999
360,0.7503749999999999
350,0.75025
340,0.75085
330,0.750625
320,0.750375
310,0.750025
300,0.7505499999999999
290,0.75015
280,0.749475
270,0.7504250000000001
260,0.7509
250,0.75
240,0.7496499999999999
230,0.7493000000000001
220,0.748775
210,0.7505
200,0.749325
190,0.7527
180,0.7537499999999999
170,0.7553000000000001
160,0.757975
150,0.7610250000000001
140,0.75885
130,0.75855
120,0.7567999999999999
110,0.7597
100,0.7625
90,0.767775
80,0.7614
70,0.7601000000000001
60,0.754675
50,0.756875
40,0.7525000000000001
30,0.739425
20,0.73415
10,0.7095
