Feature Selection Intensity,F1-score
490,0.746425
480,0.7459749999999999
470,0.74785
460,0.747025
450,0.746075
440,0.7467750000000001
430,0.746325
420,0.74725
410,0.74655
400,0.7471500000000001
390,0.7527
380,0.74515
370,0.746425
360,0.750275
350,0.747725
340,0.740875
330,0.735525
320,0.7330249999999999
310,0.734925
300,0.73065
290,0.7343249999999999
280,0.738475
270,0.7374750000000001
260,0.7404249999999999
250,0.73815
240,0.735375
230,0.7420000000000001
220,0.740825
210,0.7394000000000001
200,0.7436499999999999
190,0.741325
180,0.747275
170,0.7491
160,0.7565500000000001
150,0.755475
140,0.7613
130,0.7558
120,0.75625
110,0.75735
100,0.75625
90,0.7580500000000001
80,0.7579
70,0.7558
60,0.74595
50,0.73105
40,0.7150000000000001
30,0.72645
20,0.7126
10,0.710275
