Feature Selection Intensity,F1-score
350,0.78305
340,0.783025
330,0.7826000000000001
320,0.78255
310,0.782775
300,0.782875
290,0.782775
280,0.782775
270,0.782875
260,0.7823249999999999
250,0.782025
240,0.7820750000000001
230,0.78175
220,0.78185
210,0.7815749999999999
200,0.7811
190,0.7803500000000001
180,0.780775
170,0.779725
160,0.77945
150,0.77875
140,0.7798
130,0.779875
120,0.78
110,0.78045
100,0.7804
90,0.7804
80,0.7800499999999999
70,0.78065
60,0.781
50,0.7829750000000001
40,0.78235
30,0.784075
20,0.783
10,0.766325
