Feature Selection Intensity,F1-score
350,0.783575
340,0.78365
330,0.783875
320,0.781225
310,0.780725
300,0.77995
290,0.7804249999999999
280,0.779775
270,0.780375
260,0.7808999999999999
250,0.781325
240,0.779825
230,0.78
220,0.77935
210,0.7791750000000001
200,0.7787
190,0.7782500000000001
180,0.777725
170,0.780375
160,0.779675
150,0.7797499999999999
140,0.7786
130,0.778975
120,0.7794749999999999
110,0.778
100,0.7791
90,0.7778
80,0.78135
70,0.7829499999999999
60,0.782275
50,0.78155
40,0.7827999999999999
30,0.7820500000000001
20,0.78025
10,0.7773749999999999
