Feature Selection Intensity,F1-score
390,0.711775
380,0.7229
370,0.72165
360,0.7242750000000001
350,0.7264249999999999
340,0.7283
330,0.7289749999999999
320,0.734075
310,0.73255
300,0.7326
290,0.7368
280,0.7323000000000001
270,0.7373999999999999
260,0.7264250000000001
250,0.7345750000000001
240,0.7333999999999999
230,0.734125
220,0.7356499999999999
210,0.74475
200,0.739725
190,0.7455
180,0.741525
170,0.7432000000000001
160,0.7449749999999999
150,0.739325
140,0.7498
130,0.7478
120,0.746575
110,0.7445999999999999
100,0.7449250000000001
90,0.7424999999999999
80,0.743225
70,0.749725
60,0.739225
50,0.7395750000000001
40,0.7393500000000001
30,0.7418250000000001
20,0.7358
10,0.733525
