Feature Selection Intensity,F1-score
350,0.7065999999999999
340,0.71115
330,0.70925
320,0.704275
310,0.711025
300,0.7044499999999999
290,0.7038
280,0.702325
270,0.7044750000000001
260,0.700275
250,0.706475
240,0.704525
230,0.704075
220,0.7031750000000001
210,0.700475
200,0.70235
190,0.7091
180,0.708375
170,0.7125999999999999
160,0.710975
150,0.7128
140,0.711875
130,0.7123999999999999
120,0.7075250000000001
110,0.7115
100,0.706775
90,0.7187
80,0.70835
70,0.7080500000000001
60,0.694325
50,0.710975
40,0.706225
30,0.71325
20,0.697025
10,0.6976
