Feature Selection Intensity,F1-score
350,0.772325
340,0.772875
330,0.7701
320,0.7695000000000001
310,0.771775
300,0.769825
290,0.7711499999999999
280,0.7673
270,0.7692749999999999
260,0.7717
250,0.76685
240,0.7699499999999999
230,0.7685500000000001
220,0.7708
210,0.768575
200,0.7663249999999999
190,0.76435
180,0.7629999999999999
170,0.767525
160,0.7643
150,0.76735
140,0.7704000000000001
130,0.7702500000000001
120,0.767825
110,0.7718
100,0.765325
90,0.76645
80,0.770325
70,0.757925
60,0.757625
50,0.755325
40,0.75335
30,0.7521
20,0.7412
10,0.7255499999999999
