Feature Selection Intensity,F1-score
490,0.7792999999999999
480,0.777925
470,0.778475
460,0.77725
450,0.7773749999999999
440,0.77745
430,0.778225
420,0.7770250000000001
410,0.7753249999999999
400,0.77425
390,0.77395
380,0.774675
370,0.773
360,0.7731250000000001
350,0.772675
340,0.773525
330,0.772325
320,0.771725
310,0.771425
300,0.7705500000000001
290,0.7701749999999999
280,0.7696000000000001
270,0.7692249999999999
260,0.7700750000000001
250,0.770475
240,0.7697499999999999
230,0.769725
220,0.7697499999999999
210,0.7699
200,0.76805
190,0.7682
180,0.768325
170,0.7672000000000001
160,0.76805
150,0.768
140,0.7665750000000001
130,0.7642249999999999
120,0.762375
110,0.7575999999999999
100,0.7577
90,0.75215
80,0.7436499999999999
70,0.737825
60,0.73255
50,0.724975
40,0.715325
30,0.7111750000000001
20,0.70295
10,0.6649
