Feature Selection Intensity,F1-score
390,0.7797499999999999
380,0.7797499999999999
370,0.7797499999999999
360,0.7797499999999999
350,0.7797499999999999
340,0.7797499999999999
330,0.7797499999999999
320,0.7797499999999999
310,0.779975
300,0.779975
290,0.7797499999999999
280,0.78
270,0.780625
260,0.7808
250,0.78045
240,0.7803
230,0.780575
220,0.77975
210,0.7804
200,0.7807999999999999
190,0.7805
180,0.78095
170,0.7799250000000001
160,0.7803
150,0.7798
140,0.7793749999999999
130,0.7798499999999999
120,0.7792749999999999
110,0.7801
100,0.7777499999999999
90,0.7800749999999999
80,0.77695
70,0.7791
60,0.7807000000000001
50,0.7758
40,0.774275
30,0.7781499999999999
20,0.776025
10,0.760875
