Feature Selection Intensity,F1-score
490,0.779625
480,0.77915
470,0.779575
460,0.7801
450,0.77925
440,0.779275
430,0.7774
420,0.776575
410,0.774425
400,0.7718499999999999
390,0.7762
380,0.7762249999999999
370,0.778675
360,0.7804
350,0.78155
340,0.78155
330,0.783625
320,0.78135
310,0.7775500000000001
300,0.7812250000000001
290,0.7784
280,0.7703249999999999
270,0.7700500000000001
260,0.7674749999999999
250,0.76875
240,0.7646249999999999
230,0.7626
220,0.76435
210,0.7591
200,0.757925
190,0.75775
180,0.757825
170,0.757875
160,0.76105
150,0.76275
140,0.7614
130,0.76205
120,0.7629249999999999
110,0.7646
100,0.7612500000000001
90,0.759375
80,0.7440749999999999
70,0.752575
60,0.745525
50,0.74855
40,0.749275
30,0.7470749999999999
20,0.7498000000000001
10,0.74735
