Feature Selection Intensity,F1-score
390,0.750325
380,0.752
370,0.7493000000000001
360,0.750025
350,0.7503249999999999
340,0.75305
330,0.751875
320,0.744175
310,0.7412750000000001
300,0.7416500000000001
290,0.751325
280,0.7537499999999999
270,0.7417
260,0.74615
250,0.7447
240,0.7474000000000001
230,0.749375
220,0.745375
210,0.7466999999999999
200,0.74925
190,0.7471
180,0.75085
170,0.7463
160,0.753825
150,0.751375
140,0.74285
130,0.745325
120,0.743125
110,0.7494500000000001
100,0.753225
90,0.7455
80,0.7492749999999999
70,0.73675
60,0.741375
50,0.7411249999999999
40,0.7421
30,0.73705
20,0.7329749999999999
10,0.7289749999999999
