Feature Selection Intensity,F1-score
490,0.780425
480,0.778525
470,0.779125
460,0.77875
450,0.77815
440,0.77965
430,0.7804
420,0.778925
410,0.7800750000000001
400,0.77835
390,0.7786500000000001
380,0.7809000000000001
370,0.7782
360,0.77675
350,0.7768750000000001
340,0.774775
330,0.7776
320,0.7754249999999999
310,0.776075
300,0.774925
290,0.7742
280,0.776275
270,0.7799
260,0.77905
250,0.77885
240,0.780125
230,0.779075
220,0.780575
210,0.78065
200,0.781325
190,0.78235
180,0.78415
170,0.785825
160,0.782475
150,0.779675
140,0.778475
130,0.777925
120,0.7769
110,0.777425
100,0.77745
90,0.7772249999999999
80,0.7777
70,0.7787499999999999
60,0.777525
50,0.778425
40,0.7773
30,0.7745249999999999
20,0.7733749999999999
10,0.7723000000000001
