Feature Selection Intensity,F1-score
390,0.78065
380,0.78065
370,0.78065
360,0.78065
350,0.78065
340,0.78065
330,0.780225
320,0.7800749999999999
310,0.78065
300,0.78045
290,0.780925
280,0.78165
270,0.780125
260,0.7801
250,0.780225
240,0.780675
230,0.7795500000000001
220,0.78
210,0.780475
200,0.7793
190,0.7803
180,0.781175
170,0.779075
160,0.781825
150,0.7820750000000001
140,0.782675
130,0.783425
120,0.78245
110,0.78155
100,0.780475
90,0.7812
80,0.782375
70,0.7785249999999999
60,0.7808999999999999
50,0.7852
40,0.783675
30,0.7786000000000001
20,0.7819750000000001
10,0.777175
