Feature Selection Intensity,F1-score
490,0.7810499999999999
480,0.78175
470,0.7812749999999999
460,0.7811999999999999
450,0.78115
440,0.781325
430,0.7815749999999999
420,0.781025
410,0.77895
400,0.77985
390,0.778825
380,0.77985
370,0.7806
360,0.779375
350,0.778975
340,0.7804249999999999
330,0.7795500000000001
320,0.779825
310,0.781625
300,0.7836000000000001
290,0.784475
280,0.7836500000000001
270,0.782425
260,0.78175
250,0.7799750000000001
240,0.7815
230,0.7802749999999999
220,0.7828250000000001
210,0.7837500000000001
200,0.7830750000000001
190,0.7827500000000001
180,0.7814
170,0.7813000000000001
160,0.7804249999999999
150,0.7811999999999999
140,0.7805
130,0.7802
120,0.77885
110,0.778925
100,0.7807999999999999
90,0.782425
80,0.780225
70,0.7773
60,0.77815
50,0.776575
40,0.7769999999999999
30,0.7764249999999999
20,0.775825
10,0.780225
