Feature Selection Intensity,F1-score
490,0.7531
480,0.75435
470,0.755225
460,0.749625
450,0.754275
440,0.7511749999999999
430,0.7459749999999999
420,0.7489750000000001
410,0.7456
400,0.745925
390,0.748
380,0.745225
370,0.746075
360,0.747175
350,0.7459749999999999
340,0.74275
330,0.747625
320,0.7498
310,0.7507250000000001
300,0.756125
290,0.75275
280,0.752175
270,0.75295
260,0.75405
250,0.7565
240,0.7543
230,0.75855
220,0.7591749999999999
210,0.7580500000000001
200,0.753225
190,0.75525
180,0.7563749999999999
170,0.75555
160,0.7559750000000001
150,0.754725
140,0.754475
130,0.7539
120,0.7524749999999999
110,0.7498
100,0.747975
90,0.744675
80,0.7427250000000001
70,0.735125
60,0.7335499999999999
50,0.728125
40,0.7258249999999999
30,0.7251
20,0.7257
10,0.71905
