Feature Selection Intensity,F1-score
490,0.773775
480,0.7702
470,0.7699
460,0.7705
450,0.76945
440,0.7700750000000001
430,0.767375
420,0.770725
410,0.771575
400,0.7785
390,0.77225
380,0.77415
370,0.7719250000000001
360,0.7668250000000001
350,0.7697749999999999
340,0.76695
330,0.767925
320,0.76915
310,0.7705249999999999
300,0.770625
290,0.77005
280,0.7712
270,0.76895
260,0.7750250000000001
250,0.7755500000000001
240,0.772725
230,0.774375
220,0.77515
210,0.7756000000000001
200,0.776425
190,0.7747499999999999
180,0.767825
170,0.766225
160,0.7706
150,0.767
140,0.771925
130,0.7685000000000001
120,0.7688499999999999
110,0.76435
100,0.767675
90,0.76425
80,0.76515
70,0.759675
60,0.758
50,0.7561500000000001
40,0.750225
30,0.7442249999999999
20,0.7401500000000001
10,0.7199500000000001
