Feature Selection Intensity,F1-score
490,0.7744
480,0.7744
470,0.7744
460,0.7744
450,0.7744
440,0.7744
430,0.7753249999999999
420,0.77655
410,0.7762499999999999
400,0.7769499999999999
390,0.774
380,0.7733749999999999
370,0.7743
360,0.770425
350,0.7673249999999999
340,0.7660500000000001
330,0.768825
320,0.770325
310,0.772025
300,0.7716749999999999
290,0.7706500000000001
280,0.76625
270,0.7703749999999999
260,0.7678499999999999
250,0.770925
240,0.771125
230,0.7724
220,0.771625
210,0.77485
200,0.7739499999999999
190,0.7742500000000001
180,0.7655749999999999
170,0.7666000000000001
160,0.775725
150,0.769725
140,0.7667249999999999
130,0.76775
120,0.7632000000000001
110,0.769025
100,0.7663249999999999
90,0.76755
80,0.760375
70,0.758375
60,0.7537499999999999
50,0.751175
40,0.7503
30,0.740625
20,0.7429749999999999
10,0.7297
