features,c_importance,category,granularity
Fsum_PUA,80.58600000000001,documentation,file
Cmax_NII,66.979,coupling,class
Cstd_CBO,64.306,coupling,class
No_F,60.55,size,repository
Cmax_NPA,55.718,size,class
Csum_NL,50.416,complexity,class
Mmax_NL,49.00299999999999,complexity,method
Cstd_CBOI,42.51200000000001,coupling,class
Cstd_TNG,40.695,size,class
Cmax_LCOM5,40.187,cohesion,class
Csum_CBO,39.233,coupling,class
Cmax_CBOI,38.657,coupling,class
Cmax_CBO,33.388,coupling,class
Csum_CBOI,31.208,coupling,class
Cmax_TCLOC,30.313,documentation,class
Cmax_DLOC,29.831,documentation,class
Csum_PUA,28.33,documentation,class
Csum_NOI,27.323,coupling,class
Csum_TNLG,26.868,size,class
Msum_NUMPAR,26.46,size,method
Cstd_NG,26.339,size,class
No_C,26.059,size,repository
Mmax_NII,25.843,coupling,method
Cmax_TNLA,25.638,size,class
Mstd_NII,25.582,coupling,method
Cstd_NOI,25.11,coupling,class
Csum_LCOM5,24.87,cohesion,class
Cmax_NLPA,24.794,size,class
Csum_NLG,23.981,size,class
Cstd_LCOM5,23.571,cohesion,class
Fsum_LOC,22.913,size,file
Fmax_PUA,21.031,documentation,file
Cmax_TNA,20.969999999999995,size,class
Msum_NLE,20.668000000000003,complexity,method
Cmax_NL,20.106,complexity,class
Csum_TNLPA,19.783,size,class
oauth,19.493,external,repository
Cstd_NPA,19.281,size,class
Mmax_HPL,18.536,complexity,method
Csum_TNLA,18.239,size,class
Fsum_McCC,17.889000000000003,complexity,file
Cstd_TNLA,17.886,size,class
Csum_NPA,17.796,size,class
Cmax_DIT,17.358999999999998,inheritance,class
Csum_TNG,17.29,size,class
Cmax_NLA,16.415,size,class
Cstd_NS,16.07,size,class
dependency-injection,15.817,external,repository
Cmax_NOI,15.796,coupling,class
Cstd_TNA,15.79,size,class
Cmin_NOS,15.549,size,class
Csum_NLE,15.542000000000002,complexity,class
Cstd_DIT,15.492,inheritance,class
Cmax_NS,15.436999999999998,size,class
Csum_AD,15.389,documentation,class
Cstd_NII,15.384999999999998,coupling,class
Cmed_TLOC,15.127,size,class
Cmax_PUA,14.917,documentation,class
Mmax_NUMPAR,14.624,size,method
Csum_NLPM,14.598,size,class
Csum_NLA,14.518999999999998,size,class
Cmax_NA,14.472,size,class
apache,14.045000000000002,external,repository
Cmax_NM,14.011,size,class
Cmax_TNLS,13.900000000000002,size,class
Cstd_TNLPA,13.81,size,class
Csum_TNS,13.744000000000002,size,class
Csum_NLPA,13.218,size,class
Cmax_NOS,13.18,size,class
Csum_NS,13.1,size,class
Cstd_NOA,13.084,inheritance,class
Mmax_HDIF,12.917000000000002,complexity,method
Mstd_HPV,12.535,complexity,method
Mmax_HVOL,12.445,complexity,method
Cmin_NPM,12.376,size,class
Cmax_NOD,12.345999999999998,inheritance,class
LVUsage,12.326,external,repository
platform,11.819,external,repository
Cmed_TLLOC,11.803,size,class
Mstd_NOI,11.77,coupling,method
Cmax_NLS,11.741,size,class
Cmin_TLLOC,11.718,size,class
Cmax_TNLG,11.717,size,class
Cmax_NG,11.703,size,class
Mstd_MISM,11.477,complexity,method
Csum_NII,11.389,coupling,class
Csum_NPM,11.35,size,class
Msum_NL,11.287,complexity,method
Csum_TNLPM,11.174,size,class
Cstd_TNS,11.159999999999997,size,class
Csum_TCD,11.053,documentation,class
concurrency,11.04,external,repository
Cmax_TNPA,10.897000000000002,size,class
Cstd_TNM,10.869,size,class
Cmax_NPM,10.832,size,class
Cmax_CLOC,10.77,documentation,class
Csum_NLM,10.72,size,class
Mstd_MISEI,10.678,complexity,method
Cstd_NOS,10.075,size,class
google,9.963,external,repository
Cmax_TNG,9.539,size,class
plugin,9.299,external,repository
Mmin_HCPL,9.297,complexity,method
Cstd_TLLOC,9.287,size,class
Cmax_PDA,9.211,documentation,class
Mmed_NII,9.209,coupling,method
Csum_NOS,9.156,size,class
Csum_NOP,8.619,inheritance,class
Mstd_McCC,8.597,complexity,method
Cstd_TNPA,8.572,size,class
Cstd_TNLG,8.565,size,class
Mstd_NLE,8.521,complexity,method
Cstd_NOD,8.518,inheritance,class
Cmax_TNS,8.479,size,class
Cmin_TNLM,8.447,size,class
Mstd_MI,8.414,complexity,method
Mmed_TCD,8.041,documentation,method
Mmed_CD,7.962,documentation,method
Csum_NOD,7.949999999999999,inheritance,class
Cmed_NS,7.943,size,class
Mmax_CD,7.909999999999998,documentation,method
Csum_CD,7.824,documentation,class
Cstd_NLE,7.77,complexity,class
Mmax_DLOC,7.768999999999999,documentation,method
Cmax_TLLOC,7.756,size,class
Cmed_NPM,7.742,size,class
Cmed_DLOC,7.717,documentation,class
Cstd_NPM,7.696,size,class
Mmed_NOI,7.692,coupling,method
Cstd_TNPM,7.677,size,class
Cmed_NPA,7.675000000000001,size,class
Cstd_NL,7.663,complexity,class
Cmax_NLPM,7.621,size,class
Csum_TNLS,7.6,size,class
Csum_TNPM,7.439,size,class
Cmin_LLOC,7.261000000000001,size,class
Cstd_TNLS,7.211,size,class
Cmax_TNPM,7.205,size,class
Cmax_TNM,7.178,size,class
Mmax_TCD,7.170999999999999,documentation,method
Cstd_NLPA,7.151,size,class
Cmed_NM,7.15,size,class
Csum_NG,7.148,size,class
Mstd_HCPL,7.08,complexity,method
spring,7.073,external,repository
Cmed_TNG,7.039000000000001,size,class
Mmax_LOC,7.027,size,method
Mmax_TLOC,7.017,size,method
security,6.946,external,repository
Cmax_NOC,6.822000000000001,inheritance,class
Csum_TLLOC,6.6,size,class
Cstd_TLOC,6.367,size,class
Mmed_MI,6.362,complexity,method
Cmax_TNOS,6.334,size,class
Mmax_TCLOC,6.286,documentation,method
Mmax_NOI,6.276,coupling,method
Cmed_TNA,6.272,size,class
database,6.265000000000001,external,repository
Cmed_CBO,6.258,coupling,class
Cstd_AD,6.257,documentation,class
Cstd_NOC,6.247,inheritance,class
Fmed_McCC,6.242,complexity,file
Cmed_NOI,6.2090000000000005,coupling,class
web,6.206,external,repository
Mstd_HDIF,6.182,complexity,method
Mmin_HNDB,6.173,complexity,method
Cmed_LLOC,6.162,size,class
Cmax_RFC,6.143000000000001,coupling,class
Csum_NM,6.109999999999999,size,class
Mstd_DLOC,6.071,documentation,method
Cmed_TNPM,6.035,size,class
socket,5.954000000000001,external,repository
Fmin_LLOC,5.6690000000000005,size,file
Cmed_TNLA,5.617,size,class
Cmin_LCOM5,5.606999999999999,cohesion,class
Mstd_NL,5.574999999999999,complexity,method
Fmin_LOC,5.558,size,file
codehaus,5.548,external,repository
Csum_TNPA,5.529999999999999,size,class
Mstd_TLLOC,5.524,size,method
Cmin_TNA,5.521000000000001,size,class
Mmax_LLOC,5.521000000000001,size,method
Msum_HEFF,5.5,complexity,method
Cmin_TLOC,5.48,size,class
Csum_LOC,5.471,size,class
Cstd_PDA,5.448,documentation,class
Cmed_CLOC,5.447,documentation,class
Cmed_AD,5.4350000000000005,documentation,class
Mmax_MISEI,5.427,complexity,method
Mmed_TCLOC,5.42,documentation,method
Mstd_MIMS,5.412,complexity,method
Cmin_TNOS,5.4,size,class
Mmin_HVOL,5.398,complexity,method
client,5.371,external,repository
Mmax_HNDB,5.357,complexity,method
Cstd_DLOC,5.3420000000000005,documentation,class
Cmax_TNLPA,5.298,size,class
Mmax_HCPL,5.237,complexity,method
Cmin_TNPM,5.215,size,class
Msum_NII,5.101,coupling,method
Cmax_NOP,4.81,inheritance,class
Csum_DIT,4.765,inheritance,class
Mmin_MIMS,4.753,complexity,method
Csum_NLS,4.751,size,class
Cstd_NA,4.741999999999999,size,class
Mmax_NOS,4.737,size,method
Cstd_NLA,4.7090000000000005,size,class
Fmed_LLOC,4.703,size,file
Cstd_PUA,4.702,documentation,class
eclipse,4.689,external,repository
jetty,4.689,external,repository
reactive,4.688000000000001,external,repository
Mmax_CLOC,4.684000000000001,documentation,method
Mmax_MISM,4.679,complexity,method
Cstd_NLS,4.66,size,class
Csum_TLOC,4.638,size,class
Csum_RFC,4.6240000000000006,coupling,class
Fmed_LOC,4.622,size,file
Mmed_HNDB,4.609999999999999,complexity,method
Mstd_LOC,4.608,size,method
Msum_DLOC,4.605,documentation,method
logging,4.598000000000001,external,repository
Cmin_RFC,4.596,coupling,class
Msum_HPV,4.591,complexity,method
Cstd_NM,4.579,size,class
network,4.57,external,repository
Csum_WMC,4.566,complexity,class
junit,4.557,external,repository
Cmed_CD,4.545,documentation,class
Msum_McCC,4.535,complexity,method
Mstd_CD,4.509,documentation,method
netty,4.448,external,repository
Msum_MIMS,4.441000000000001,complexity,method
Cstd_NLG,4.431,size,class
Mmed_DLOC,4.033,documentation,method
Cmax_TLOC,4.007,size,class
Mstd_TLOC,3.987,size,method
Mmin_HDIF,3.982,complexity,method
Mstd_HPL,3.96,complexity,method
Mmed_CLOC,3.921,documentation,method
webserver,3.913,external,repository
Cstd_RFC,3.907000000000001,coupling,class
Mmax_McCC,3.903,complexity,method
Mstd_TNOS,3.898,size,method
Cmed_TCD,3.892,documentation,class
Cmin_WMC,3.881,complexity,class
Cmax_NOA,3.88,inheritance,class
Cmin_PUA,3.878,documentation,class
Mstd_CLOC,3.869,documentation,method
Fmin_PDA,3.864,documentation,file
Msum_MI,3.864,complexity,method
Fstd_PUA,3.851,documentation,file
Fmax_PDA,3.849,documentation,file
Mmin_HEFF,3.849,complexity,method
jsp,3.82,external,repository
Mmed_HVOL,3.814,complexity,method
Mmax_TLLOC,3.802000000000001,size,method
Fsum_PDA,3.791,documentation,file
Mmax_TNOS,3.786,size,method
Cmed_TCLOC,3.778,documentation,class
Cmin_TNLPM,3.772,size,class
Csum_NA,3.771,size,class
retrofit,3.766,external,repository
Cmin_NLM,3.761,size,class
Msum_MISM,3.658,complexity,method
tools,3.633,external,repository
framework,3.286,external,repository
Cmax_CD,3.262,documentation,class
Fmax_LLOC,3.222,size,file
Cmin_LOC,3.2140000000000004,size,class
Mmed_HPL,3.209,complexity,method
Cmin_TNG,3.2,size,class
Cmax_TCD,3.192,documentation,class
selenium,3.172,external,repository
Cmax_NLM,3.1700000000000004,size,class
Csum_NOA,3.163,inheritance,class
Fmax_McCC,3.155,complexity,file
Mmed_HPV,3.151,complexity,method
Cmed_DIT,3.137,inheritance,class
Cmin_TNM,3.1350000000000007,size,class
Mmed_HTRP,3.122,complexity,method
Cmed_NG,3.1180000000000003,size,class
Cmed_TNLM,3.113,size,class
Mmed_HEFF,3.112,complexity,method
Cstd_TNLM,3.103,size,class
Cmed_TNOS,3.103,size,class
Cmed_NLS,3.1000000000000005,size,class
Cmax_LLOC,3.086,size,class
No_M,3.071,size,repository
Mstd_NUMPAR,3.071,size,method
Cmed_NOS,3.07,size,class
Mstd_TCLOC,3.0570000000000004,documentation,method
Cmax_TNLPM,3.0530000000000004,size,class
Fmed_PUA,3.053,documentation,file
engine,3.05,external,repository
Mstd_TCD,3.0460000000000003,documentation,method
Csum_TNM,3.0460000000000003,size,class
Cmed_LOC,3.012,size,class
Cstd_LLOC,3.003,size,class
http,2.9770000000000003,external,repository
Csum_DLOC,2.9360000000000004,documentation,class
Fmax_LOC,2.401,size,file
Mmed_MIMS,2.3920000000000003,complexity,method
Cmed_PDA,2.387,documentation,class
Mmax_HPV,2.386,complexity,method
Cmax_NLG,2.373,size,class
rxjava,2.365,external,repository
groovy,2.364,external,repository
Mmin_MISEI,2.361,complexity,method
Mmax_HEFF,2.36,complexity,method
Cmed_TNLPM,2.358,size,class
Msum_TNOS,2.351,size,method
Cmed_RFC,2.35,coupling,class
Msum_HTRP,2.34,complexity,method
Cstd_TNLPM,2.338,size,class
Cmax_LOC,2.329,size,class
Fstd_PDA,2.327,documentation,file
Cmed_TNM,2.327,size,class
Cmed_NOA,2.325,inheritance,class
Msum_HVOL,2.321,complexity,method
Mstd_LLOC,2.319,size,method
Msum_CLOC,2.316,documentation,method
Mmax_HTRP,2.313,complexity,method
aws,2.31,external,repository
amazon,2.31,external,repository
sdk,2.31,external,repository
Mstd_HEFF,2.309,complexity,method
dropwizard,2.302,external,repository
Cmed_CBOI,2.297,coupling,class
Msum_LOC,2.294,size,method
Cmin_CD,2.287,documentation,class
Cmin_NLPM,2.278,size,class
Cmin_NM,2.277,size,class
Cmin_TNLG,2.265,size,class
Cmin_NL,2.257,complexity,class
Cmin_NLE,2.257,complexity,class
Cstd_CLOC,2.249,documentation,class
Cstd_TCLOC,2.231,documentation,class
Cmed_NA,2.208,size,class
portal,2.191,external,repository
Fsum_LLOC,2.189,size,file
mapping,2.163,external,repository
Csum_CLOC,2.126,documentation,class
driver,1.637,external,repository
Cmax_WMC,1.623,complexity,class
Mmed_NOS,1.622,size,method
Cmax_TNLM,1.617,size,class
Msum_NOI,1.606,coupling,method
Msum_HPL,1.602,complexity,method
Mstd_HVOL,1.598,complexity,method
Csum_LLOC,1.593,size,class
Cmed_NII,1.593,coupling,class
Cmed_TNLPA,1.588,size,class
Mmed_HCPL,1.585,complexity,method
Cmed_NLM,1.584,size,class
Cstd_TCD,1.5790000000000002,documentation,class
Fstd_LLOC,1.576,size,file
webservice,1.576,external,repository
Cstd_NLPM,1.573,size,class
Csum_PDA,1.5630000000000002,documentation,class
Msum_MISEI,1.552,complexity,method
rpc,1.541,external,repository
grpc,1.541,external,repository
Fstd_McCC,1.534,complexity,file
Msum_CD,1.533,documentation,method
Mstd_HNDB,1.532,complexity,method
build,1.531,external,repository
Cstd_CD,1.53,documentation,class
native,1.5299999999999998,external,repository
Cmin_TCD,1.528,documentation,class
testing,1.526,external,repository
Msum_TCD,1.524,documentation,method
Cmed_PUA,1.521,documentation,class
Csum_TNA,1.512,size,class
Cstd_LOC,1.511,size,class
Mmed_MISEI,1.511,complexity,method
rest,1.5,external,repository
Cmed_NL,1.496,complexity,class
xml,1.494,external,repository
Msum_HDIF,1.493,complexity,method
generator,1.493,external,repository
Mmed_MISM,1.492,complexity,method
Cmax_NLE,1.49,complexity,class
Csum_TNOS,1.46,size,class
Msum_NOS,1.451,size,method
Msum_HNDB,1.4449999999999998,complexity,method
maven,1.439,external,repository
build-system,1.439,external,repository
cli,1.43,external,repository
Csum_TCLOC,1.395,documentation,class
Msum_HCPL,1.388,complexity,method
Mstd_HTRP,0.862,complexity,method
server,0.839,external,repository
hadoop,0.832,external,repository
Fmin_PUA,0.83,documentation,file
mock,0.83,external,repository
Mstd_NOS,0.828,size,method
Csum_TNLM,0.825,size,class
Cmin_TNLA,0.81,size,class
api,0.803,external,repository
jaxrs,0.803,external,repository
Mmin_NOS,0.803,size,method
Mmax_MI,0.797,complexity,method
Mmax_MIMS,0.797,complexity,method
Fstd_LOC,0.797,size,file
Mmax_NLE,0.793,complexity,method
servlet,0.791,external,repository
Cmed_NLPM,0.787,size,class
Mmed_TNOS,0.785,size,method
search,0.785,external,repository
Cmin_AD,0.778,documentation,class
Cmed_NLE,0.775,complexity,class
serialization,0.773,external,repository
collections,0.769,external,repository
Cmed_TNPA,0.761,size,class
Cmed_TNS,0.76,size,class
hibernate,0.759,external,repository
Cmed_WMC,0.754,complexity,class
Msum_TLLOC,0.746,size,method
Mmin_MISM,0.746,complexity,method
Msum_LLOC,0.746,size,method
github,0.744,external,repository
Cstd_NLM,0.742,size,class
Cmed_TNLS,0.732,size,class
compiler,0.729,external,repository
android,0.729,external,repository
Mmin_TLLOC,0.722,size,method
aar,0.713,external,repository
io,0.713,external,repository
language,0.708,external,repository
command-line,0.708,external,repository
Msum_TCLOC,0.708,documentation,method
Msum_TLOC,0.667,size,method
