Csum_NL,0.053,0.012,0.744
Cmax_TNLG,0.042,0.011,0.744
Csum_DLOC,0.038,0.03,0.744
No_C,0.036,0.021,0.744
Csum_TNPM,0.027,0.011,0.744
Cmax_TNOS,0.018,0.009,0.744
Cstd_CBOI,0.018,0.008,0.744
Mmax_NL,0.018,0.008,0.744
Cmax_TCLOC,0.017,0.006,0.744
Csum_LCOM5,0.015,0.017,0.744
Csum_TNLA,0.039,0.019,0.774
Mmax_NL,0.03,0.008,0.774
Csum_NOI,0.03,0.008,0.774
Mmax_HDIF,0.029,0.015,0.774
Cmax_DLOC,0.029,0.019,0.774
Csum_CBO,0.021,0.006,0.774
Mmax_NUMPAR,0.015,0.011,0.774
Cstd_TNLS,0.014,0.003,0.774
Csum_TNLG,0.012,0.012,0.774
Cmax_NLPA,0.012,0.009,0.774
Csum_TNLPM,0.092,0.017,0.778
Cstd_CBO,0.043,0.011,0.778
Cmax_CLOC,0.032,0.018,0.778
Fmax_PUA,0.032,0.015,0.778
Cmax_LCOM5,0.031,0.01,0.778
Msum_NLE,0.027,0.012,0.778
Cmax_DLOC,0.027,0.008,0.778
Cmax_NPA,0.024,0.012,0.778
Csum_NPA,0.023,0.013,0.778
Csum_CBO,0.023,0.015,0.778
Csum_NLE,0.079,0.011,0.796
Csum_NOI,0.076,0.02,0.796
Fsum_PUA,0.069,0.02,0.796
Cmax_NII,0.047,0.027,0.796
Fsum_McCC,0.029,0.018,0.796
Cstd_CBO,0.027,0.016,0.796
Cmax_NPA,0.026,0.008,0.796
Mmax_HVOL,0.024,0.019,0.796
Cstd_TNS,0.021,0.009,0.796
Cstd_TNLS,0.017,0.016,0.796
Fsum_LOC,0.071,0.026,0.733
Fsum_PUA,0.056,0.016,0.733
Mmax_NL,0.052,0.019,0.733
Csum_NLA,0.05,0.025,0.733
Csum_TNLG,0.035,0.028,0.733
Csum_NLG,0.032,0.016,0.733
Cstd_CBOI,0.027,0.014,0.733
No_C,0.023,0.017,0.733
Cmax_DLOC,0.02,0.018,0.733
Csum_TCD,0.018,0.012,0.733
Msum_DLOC,0.042,0.018,0.79
Cstd_CBO,0.029,0.009,0.79
No_C,0.027,0.014,0.79
Cmax_TNPA,0.02,0.006,0.79
Csum_NL,0.018,0.004,0.79
Cmax_TCLOC,0.018,0.004,0.79
Mstd_NOI,0.017,0.006,0.79
Cmax_TNA,0.014,0.006,0.79
Cmax_NA,0.012,0.008,0.79
Csum_NOP,0.009,0.009,0.79
Mmax_NOS,0.049,0.008,0.77
Csum_TNLA,0.037,0.022,0.77
Fmax_PUA,0.026,0.006,0.77
Msum_HEFF,0.024,0.021,0.77
Msum_HPV,0.017,0.014,0.77
Cmax_CBO,0.015,0.011,0.77
No_F,0.014,0.009,0.77
Csum_NS,0.014,0.019,0.77
Mmax_DLOC,0.014,0.009,0.77
Mmax_NII,0.012,0.008,0.77
No_C,0.035,0.008,0.73
Csum_TNLG,0.029,0.027,0.73
Cstd_NPM,0.012,0.02,0.73
Cmax_NII,0.012,0.008,0.73
Cstd_TNG,0.012,0.009,0.73
Fmax_PUA,0.009,0.011,0.73
Cstd_DIT,0.009,0.006,0.73
Cmax_DLOC,0.008,0.025,0.73
Csum_CBO,0.008,0.005,0.73
Cstd_TNPM,0.006,0.003,0.73
Msum_NUMPAR,0.027,0.018,0.754
Msum_DLOC,0.026,0.015,0.754
Cstd_TNG,0.012,0.006,0.754
Cmax_TNA,0.011,0.008,0.754
Csum_NL,0.011,0.01,0.754
Mmax_NOI,0.011,0.006,0.754
