No_C,0.161,0.023,0.661
Csum_NL,0.127,0.011,0.661
Mmax_NII,0.059,0.012,0.661
Cmax_NA,0.026,0.009,0.661
Csum_NII,0.024,0.006,0.661
Csum_NA,0.02,0.01,0.661
Cstd_NOI,0.009,0.011,0.661
Csum_AD,0.009,0.006,0.661
Csum_NLG,0.008,0.007,0.661
Cstd_LCOM5,0.006,0.009,0.661
No_F,0.129,0.023,0.74
Csum_PUA,0.12,0.02,0.74
Cstd_NS,0.082,0.027,0.74
Msum_HVOL,0.067,0.01,0.74
Csum_TNLA,0.062,0.032,0.74
Mmax_HDIF,0.055,0.009,0.74
Mstd_MISEI,0.053,0.02,0.74
Mstd_MISM,0.042,0.008,0.74
Csum_CBOI,0.032,0.016,0.74
Csum_NL,0.023,0.007,0.74
Csum_TNLPM,0.168,0.035,0.746
No_C,0.107,0.027,0.746
Csum_NLG,0.095,0.012,0.746
Cstd_CBO,0.084,0.019,0.746
Mmax_NII,0.046,0.016,0.746
Csum_NLM,0.026,0.018,0.746
Cstd_CBOI,0.024,0.006,0.746
Csum_TNLG,0.02,0.004,0.746
Cstd_NG,0.017,0.015,0.746
Cstd_NOI,0.017,0.009,0.746
No_F,0.102,0.016,0.727
Csum_NS,0.078,0.023,0.727
Csum_AD,0.076,0.013,0.727
Csum_CBO,0.063,0.014,0.727
Csum_NOI,0.049,0.015,0.727
Csum_WMC,0.043,0.014,0.727
No_M,0.023,0.014,0.727
Cmed_TLOC,0.023,0.01,0.727
Fsum_LLOC,0.018,0.004,0.727
Mmax_NII,0.017,0.025,0.727
Cmax_CBOI,0.124,0.02,0.631
Csum_NLA,0.077,0.027,0.631
No_C,0.073,0.02,0.631
Csum_TNLA,0.068,0.014,0.631
No_F,0.067,0.024,0.631
Csum_TNLPA,0.038,0.011,0.631
Csum_PUA,0.027,0.014,0.631
Cstd_TNS,0.023,0.014,0.631
Csum_NPM,0.02,0.006,0.631
Cstd_NG,0.018,0.006,0.631
Csum_CBOI,0.191,0.015,0.756
Csum_NII,0.152,0.017,0.756
Cmax_NOI,0.135,0.019,0.756
No_F,0.127,0.013,0.756
Csum_NLM,0.121,0.005,0.756
No_C,0.102,0.031,0.756
Csum_LCOM5,0.085,0.009,0.756
Cstd_TNS,0.052,0.015,0.756
Cmax_NII,0.018,0.012,0.756
Cstd_TNG,0.015,0.01,0.756
Csum_TNLA,0.269,0.041,0.754
No_F,0.171,0.035,0.754
Csum_CBO,0.124,0.025,0.754
Cstd_TNS,0.037,0.015,0.754
Cstd_CBOI,0.029,0.006,0.754
Mmax_HPL,0.026,0.017,0.754
Mstd_NII,0.017,0.011,0.754
Csum_PUA,0.012,0.004,0.754
Msum_NUMPAR,0.011,0.018,0.754
Csum_LCOM5,0.009,0.003,0.754
No_C,0.275,0.054,0.689
Msum_NUMPAR,0.063,0.019,0.689
Mstd_MI,0.04,0.006,0.689
Mstd_MISEI,0.027,0.006,0.689
Csum_NOP,0.021,0.02,0.689
Cstd_LCOM5,0.021,0.012,0.689
Cmax_NOD,0.015,0.008,0.689
No_F,0.015,0.012,0.689
Cstd_NLG,0.011,0.013,0.689
Csum_TNLPA,0.009,0.009,0.689
Csum_CBOI,0.171,0.033,0.741
Mmax_NII,0.121,0.008,0.741
Csum_RFC,0.08,0.023,0.741
Csum_LCOM5,0.073,0.021,0.741
Cstd_NLG,0.059,0.033,0.741
Cstd_NS,0.039,0.01,0.741
Csum_NII,0.036,0.011,0.741
Msum_NUMPAR,0.026,0.023,0.741
Csum_NLPM,0.023,0.011,0.741
Fsum_PUA,0.023,0.005,0.741
Csum_CBOI,0.164,0.012,0.781
Cmax_CBOI,0.129,0.012,0.781
Fsum_PUA,0.091,0.017,0.781
Csum_PUA,0.067,0.006,0.781
No_F,0.044,0.023,0.781
Csum_NOI,0.039,0.011,0.781
Csum_LOC,0.018,0.006,0.781
Cstd_NII,0.018,0.01,0.781
Csum_NM,0.017,0.01,0.781
Csum_TNPM,0.017,0.01,0.781
Csum_NOI,0.211,0.018,0.81
Csum_CBO,0.179,0.014,0.81
Csum_NLM,0.159,0.024,0.81
Csum_AD,0.122,0.007,0.81
No_F,0.122,0.016,0.81
Cmax_NPA,0.082,0.017,0.81
Mmax_NII,0.075,0.011,0.81
Cmed_TLLOC,0.04,0.009,0.81
Cstd_NOI,0.029,0.01,0.81
Csum_NII,0.027,0.009,0.81
Cmax_NOI,0.092,0.022,0.629
No_F,0.089,0.02,0.629
Cmax_CBOI,0.066,0.022,0.629
Csum_NOI,0.064,0.036,0.629
Csum_NL,0.05,0.031,0.629
Csum_NII,0.015,0.013,0.629
Csum_TLLOC,0.014,0.01,0.629
Msum_MISM,0.012,0.01,0.629
Fsum_PUA,0.012,0.016,0.629
Cmed_TLOC,0.009,0.011,0.629
No_F,0.138,0.02,0.746
Cstd_CBO,0.089,0.012,0.746
Csum_AD,0.089,0.013,0.746
Cstd_NS,0.029,0.011,0.746
Mstd_MISM,0.027,0.01,0.746
Msum_NUMPAR,0.021,0.016,0.746
Mmax_NII,0.014,0.006,0.746
Csum_CD,0.014,0.003,0.746
Msum_LLOC,0.008,0.0,0.746
No_C,0.006,0.003,0.746
Fsum_LOC,0.183,0.027,0.783
Csum_NL,0.065,0.022,0.783
Cstd_TNLPA,0.05,0.028,0.783
Csum_TNLPM,0.044,0.011,0.783
Csum_LCOM5,0.033,0.018,0.783
Cstd_TNG,0.023,0.013,0.783
