F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold,support,resampling
0.33965,0.488525,0.265925,0.828675,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",160,MaxAbsScaler(),kb,0,TRUE,60,TRUE
0.325425,0.31675,0.33985,0.76825,"MLPClassifier(max_iter=10000, random_state=27033074)",160,PowerTransformer(),rf,0,TRUE,60,FALSE
0.448675,0.335475,0.682825,0.718375,"SVC(gamma='auto', random_state=27033074)",160,QuantileTransformer(random_state=27033074),kb,0,TRUE,60,TRUE
0.421775,0.311175,0.6625,0.694625,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",320,QuantileTransformer(random_state=27033074),rf,0,FALSE,60,FALSE
0.367025,0.33995,0.465925,0.7384,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",40,normalize,,1,FALSE,60,FALSE
0.304925,0.32225,0.298925,0.772425,DecisionTreeClassifier(random_state=27033074),30,"QuantileTransformer(output_distribution='normal', random_state=27033074)",rf,0,FALSE,60,TRUE
0.4287,0.315125,0.679475,0.696575,RidgeClassifierCV(),20,QuantileTransformer(random_state=27033074),,1,TRUE,60,TRUE
0.204,0.38645,0.1692,0.8162,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=27033074, ...)",370,normalize,rf,0,FALSE,60,TRUE
0.051025,0.2979,0.02825,0.833575,GaussianProcessClassifier(random_state=27033074),270,normalize,kb,0,FALSE,60,FALSE
0.4351,0.418,0.460225,0.8009,AdaBoostClassifier(random_state=27033074),210,QuantileTransformer(random_state=27033074),rf,0,TRUE,60,TRUE
0.3157,0.485525,0.24195,0.827375,"GradientBoostingClassifier(n_estimators=500, random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,TRUE,60,FALSE
