F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,Resampling
0.7755,0.7817,0.7725,0.7958,RF,401,,False,True
0.775,0.7809,0.7722,0.7952,RF,401,StandardScaler,False,True
0.7752,0.7814,0.7722,0.7954,RF,401,Min-maxScaler,False,True
0.7746,0.7803,0.7722,0.7948,RF,401,Max-absoluteScaler,False,True
0.7749,0.7811,0.7717,0.7953,RF,401,RobustScaler,False,True
0.7756,0.7809,0.7738,0.7956,RF,401,PowerTransformer,False,True
0.7747,0.7799,0.7725,0.7948,RF,401,QuantileTransformer_Uniform,False,True
0.7741,0.7788,0.7725,0.7941,RF,401,QuantileTransformer_Normal,False,True
0.7679,0.7367,0.8117,0.7769,RF,401,Normalisation,False,True
0.6879,0.6359,0.8313,0.6852,MLP,401,,False,True
0.7267,0.7421,0.7146,0.7546,MLP,401,StandardScaler,False,True
0.7235,0.7348,0.717,0.7504,MLP,401,Min-maxScaler,False,True
0.7292,0.7393,0.7246,0.7551,MLP,401,Max-absoluteScaler,False,True
0.7163,0.7412,0.6963,0.7485,MLP,401,RobustScaler,False,True
0.7353,0.7419,0.7317,0.7599,MLP,401,PowerTransformer,False,True
0.7449,0.7511,0.7421,0.7684,MLP,401,QuantileTransformer_Uniform,False,True
0.7396,0.7338,0.7479,0.7597,MLP,401,QuantileTransformer_Normal,False,True
0.7227,0.6741,0.7909,0.7253,MLP,401,Normalisation,False,True
0.0,0.0,0.0,0.5435,SVM,401,,False,True
0.7534,0.7549,0.7546,0.7746,SVM,401,StandardScaler,False,True
0.7075,0.7984,0.6459,0.7611,SVM,401,Min-maxScaler,False,True
0.6641,0.8287,0.5637,0.7452,SVM,401,Max-absoluteScaler,False,True
0.748,0.7459,0.752,0.7689,SVM,401,RobustScaler,False,True
0.7775,0.7743,0.7842,0.7952,SVM,401,PowerTransformer,False,True
0.7821,0.7624,0.805,0.7954,SVM,401,QuantileTransformer_Uniform,False,True
0.7415,0.7741,0.7137,0.7728,SVM,401,QuantileTransformer_Normal,False,True
0.3498,0.9086,0.22,0.6342,SVM,401,Normalisation,False,True
0.733,0.7478,0.7212,0.761,KNN,401,,False,True
0.7354,0.6754,0.8095,0.7333,KNN,401,StandardScaler,False,True
0.7183,0.6681,0.7804,0.7204,KNN,401,Min-maxScaler,False,True
0.7178,0.6728,0.7733,0.7221,KNN,401,Max-absoluteScaler,False,True
0.7417,0.6976,0.795,0.7471,KNN,401,RobustScaler,False,True
0.7709,0.7201,0.8329,0.774,KNN,401,PowerTransformer,False,True
0.7733,0.7321,0.8226,0.7801,KNN,401,QuantileTransformer_Uniform,False,True
0.75,0.6915,0.8229,0.7494,KNN,401,QuantileTransformer_Normal,False,True
0.7641,0.7026,0.8417,0.7626,KNN,401,Normalisation,False,True
0.5641,0.4325,0.8458,0.4762,LGR,401,,False,True
0.6918,0.6897,0.6988,0.7166,LGR,401,StandardScaler,False,True
0.6907,0.7269,0.7129,0.7238,LGR,401,Min-maxScaler,False,True
0.7098,0.7248,0.7366,0.7331,LGR,401,Max-absoluteScaler,False,True
0.7049,0.7037,0.7087,0.7304,LGR,401,RobustScaler,False,True
0.6957,0.7054,0.6912,0.7263,LGR,401,PowerTransformer,False,True
0.7123,0.7332,0.7308,0.746,LGR,401,QuantileTransformer_Uniform,False,True
0.7106,0.7223,0.7188,0.7384,LGR,401,QuantileTransformer_Normal,False,True
0.7465,0.6452,0.8992,0.719,LGR,401,Normalisation,False,True
0.708,0.702,0.718,0.7312,DT,401,,False,True
0.708,0.7019,0.718,0.7312,DT,401,StandardScaler,False,True
0.7084,0.7024,0.7184,0.7316,DT,401,Min-maxScaler,False,True
0.7083,0.7022,0.7184,0.7314,DT,401,Max-absoluteScaler,False,True
0.7076,0.7021,0.7171,0.731,DT,401,RobustScaler,False,True
0.7079,0.7042,0.715,0.7314,DT,401,PowerTransformer,False,True
0.7081,0.702,0.7179,0.7312,DT,401,QuantileTransformer_Uniform,False,True
0.7093,0.7032,0.7192,0.7323,DT,401,QuantileTransformer_Normal,False,True
0.5515,0.5361,0.6034,0.5951,DT,401,Normalisation,False,True
0.516,0.6297,0.5371,0.5194,R,401,,False,True
0.7059,0.7098,0.705,0.7316,R,401,StandardScaler,False,True
0.7508,0.7361,0.7687,0.7675,R,401,Min-maxScaler,False,True
0.748,0.7423,0.7566,0.7677,R,401,Max-absoluteScaler,False,True
0.6796,0.7126,0.6529,0.7198,R,401,RobustScaler,False,True
0.7261,0.7115,0.7442,0.7437,R,401,PowerTransformer,False,True
0.7727,0.7628,0.7855,0.7889,R,401,QuantileTransformer_Uniform,False,True
0.707,0.6845,0.735,0.7215,R,401,QuantileTransformer_Normal,False,True
0.7407,0.6138,0.9358,0.6999,R,401,Normalisation,False,True
0.7694,0.7785,0.7633,0.7915,XG,401,,False,True
0.7691,0.7784,0.7629,0.7913,XG,401,StandardScaler,False,True
0.77,0.7793,0.7637,0.792,XG,401,Min-maxScaler,False,True
0.77,0.7793,0.7637,0.792,XG,401,Max-absoluteScaler,False,True
0.7694,0.7785,0.7633,0.7915,XG,401,RobustScaler,False,True
0.7691,0.7784,0.7629,0.7913,XG,401,PowerTransformer,False,True
0.7706,0.7805,0.7637,0.7928,XG,401,QuantileTransformer_Uniform,False,True
0.7702,0.7801,0.7633,0.7924,XG,401,QuantileTransformer_Normal,False,True
0.7733,0.7298,0.8295,0.7778,XG,401,Normalisation,False,True
0.0,0.0,0.0,0.5435,GPC,401,,False,True
0.672,0.6552,0.6925,0.6917,GPC,401,StandardScaler,False,True
0.7565,0.7381,0.7775,0.7716,GPC,401,Min-maxScaler,False,True
0.7547,0.7416,0.7704,0.772,GPC,401,Max-absoluteScaler,False,True
0.6105,0.6512,0.5779,0.6641,GPC,401,RobustScaler,False,True
0.7188,0.6839,0.7604,0.7288,GPC,401,PowerTransformer,False,True
0.7556,0.6987,0.8242,0.7568,GPC,401,QuantileTransformer_Uniform,False,True
0.7065,0.6703,0.7487,0.7158,GPC,401,QuantileTransformer_Normal,False,True
0.7699,0.6956,0.8654,0.7634,GPC,401,Normalisation,False,True
0.7471,0.7428,0.755,0.7673,ADA,401,,False,True
0.747,0.7425,0.755,0.7671,ADA,401,StandardScaler,False,True
0.7471,0.7428,0.755,0.7673,ADA,401,Min-maxScaler,False,True
0.747,0.7425,0.755,0.7671,ADA,401,Max-absoluteScaler,False,True
0.7471,0.7428,0.755,0.7673,ADA,401,RobustScaler,False,True
0.7467,0.7419,0.755,0.7667,ADA,401,PowerTransformer,False,True
0.7467,0.7423,0.7546,0.7669,ADA,401,QuantileTransformer_Uniform,False,True
0.7466,0.742,0.7546,0.7667,ADA,401,QuantileTransformer_Normal,False,True
0.7256,0.6875,0.7992,0.7316,ADA,401,Normalisation,False,True
0.7675,0.7742,0.7633,0.7889,GB,401,,False,True
0.7673,0.7738,0.7633,0.7887,GB,401,StandardScaler,False,True
0.7674,0.7742,0.7633,0.7889,GB,401,Min-maxScaler,False,True
0.7674,0.7742,0.7633,0.7889,GB,401,Max-absoluteScaler,False,True
0.7675,0.7739,0.7638,0.7889,GB,401,RobustScaler,False,True
0.7677,0.7753,0.763,0.7895,GB,401,PowerTransformer,False,True
0.7684,0.7758,0.7638,0.7901,GB,401,QuantileTransformer_Uniform,False,True
0.7678,0.7739,0.7642,0.7892,GB,401,QuantileTransformer_Normal,False,True
0.7242,0.7336,0.7525,0.7498,GB,401,Normalisation,False,True
