F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold,support
0.780175,0.78645,0.77705,0.80015,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,,,0,True,60
0.77975,0.7853,0.777475,0.79955,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,StandardScaler(),,0,True,60
0.77955,0.7857,0.776625,0.799575,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MinMaxScaler(),,0,True,60
0.78055,0.787,0.777475,0.8005,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MaxAbsScaler(),,0,True,60
0.779675,0.785125,0.777475,0.79955,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,RobustScaler(),,0,True,60
0.779975,0.78595,0.7771,0.799925,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,PowerTransformer(),,0,True,60
0.778575,0.78445,0.77625,0.798625,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,True,60
0.778875,0.783,0.777925,0.7984,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True,60
0.66675,0.614725,0.81705,0.63555,"MLPClassifier(max_iter=10000, random_state=27033074)",401,,,0,True,60
0.7274,0.73825,0.719975,0.7538,"MLPClassifier(max_iter=10000, random_state=27033074)",401,StandardScaler(),,0,True,60
0.724625,0.736775,0.716325,0.751575,"MLPClassifier(max_iter=10000, random_state=27033074)",401,MinMaxScaler(),,0,True,60
0.72925,0.741275,0.722475,0.755275,"MLPClassifier(max_iter=10000, random_state=27033074)",401,MaxAbsScaler(),,0,True,60
0.720275,0.742775,0.7021,0.751525,"MLPClassifier(max_iter=10000, random_state=27033074)",401,RobustScaler(),,0,True,60
0.74835,0.754025,0.7459,0.7711,"MLPClassifier(max_iter=10000, random_state=27033074)",401,PowerTransformer(),,0,True,60
0.744875,0.75425,0.740775,0.769075,"MLPClassifier(max_iter=10000, random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,True,60
0.749025,0.74425,0.75665,0.76855,"MLPClassifier(max_iter=10000, random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True,60
0,0,0,0.5435,"SVC(gamma='auto', random_state=27033074)",401,,,0,True,60
