Feature Selection Intensity,F1-score
340,0.7526999999999999
330,0.756
320,0.7447999999999999
310,0.7529250000000001
300,0.7479750000000001
290,0.750725
280,0.757425
270,0.7528499999999999
260,0.758375
250,0.754675
240,0.7511
230,0.7615000000000001
220,0.756825
210,0.7599
200,0.76415
190,0.7548
180,0.758725
170,0.7613749999999999
160,0.760325
150,0.759375
140,0.75815
130,0.75775
120,0.75115
110,0.7457
100,0.741625
90,0.7477499999999999
80,0.74985
70,0.747025
60,0.747475
50,0.7390000000000001
40,0.7441500000000001
30,0.7421249999999999
20,0.743625
10,0.7453999999999998
