Feature Selection Intensity,F1-score
340,0.618525
330,0.6301749999999999
320,0.63255
310,0.6256
300,0.63765
290,0.6477999999999999
280,0.6540250000000001
270,0.66145
260,0.6684749999999999
250,0.6695
240,0.676225
230,0.6653
220,0.6728999999999999
210,0.6799999999999999
200,0.693075
190,0.6966249999999998
180,0.700575
170,0.7030000000000001
160,0.705675
150,0.7040749999999999
140,0.703425
130,0.7066250000000001
120,0.712675
110,0.7166
100,0.721475
90,0.72075
80,0.71885
70,0.7156750000000001
60,0.7217
50,0.7245
40,0.730525
30,0.72775
20,0.7375
10,0.7303999999999999
