Feature Selection Intensity,F1-score
400,0.712925
390,0.7026999999999999
380,0.710275
370,0.7049
360,0.705525
350,0.7036
340,0.711175
330,0.71015
320,0.7032
310,0.7163499999999999
300,0.7065750000000001
290,0.714275
280,0.7058
270,0.709125
260,0.7135
250,0.70645
240,0.7109
230,0.708075
220,0.708825
210,0.7086
200,0.7078249999999999
190,0.7159500000000001
180,0.7069500000000001
170,0.7104999999999999
160,0.716225
150,0.7151500000000001
140,0.7074750000000001
130,0.715425
120,0.7136
110,0.7148749999999999
100,0.71815
90,0.7061249999999999
80,0.6992499999999999
70,0.7142999999999999
60,0.709075
50,0.7060500000000001
40,0.71575
30,0.7186
20,0.7147500000000001
10,0.705625
