Feature Selection Intensity,F1-score
340,0.7706
330,0.7675500000000001
320,0.768275
310,0.771375
300,0.767925
290,0.77055
280,0.7710250000000001
270,0.76995
260,0.7743249999999999
250,0.7712
240,0.77145
230,0.768425
220,0.7708
210,0.769925
200,0.7649250000000001
190,0.7697
180,0.770925
170,0.76915
160,0.7663249999999999
150,0.759225
140,0.7593249999999999
130,0.7628
120,0.75635
110,0.7564
100,0.760175
90,0.7533749999999999
80,0.75085
70,0.745775
60,0.7455
50,0.73835
40,0.739375
30,0.7266999999999999
20,0.72275
10,0.7265499999999999
