Feature Selection Intensity,F1-score
340,0.566775
330,0.569375
320,0.579575
310,0.5988749999999999
300,0.6161
290,0.63075
280,0.6455500000000001
270,0.6572
260,0.675325
250,0.6888500000000001
240,0.6982
230,0.71165
220,0.70945
210,0.718575
200,0.725125
190,0.7222500000000001
180,0.7241
170,0.7292249999999999
160,0.73475
150,0.74355
140,0.7417499999999999
130,0.750375
120,0.7454
110,0.7471249999999999
100,0.74535
90,0.7472999999999999
80,0.750025
70,0.749825
60,0.7511
50,0.75815
40,0.755525
30,0.753125
20,0.7436499999999999
10,0.73075
