Feature Selection Intensity,F1-score
340,0.7715250000000001
330,0.7675249999999999
320,0.7693000000000001
310,0.7708
300,0.77105
290,0.770125
280,0.77165
270,0.770225
260,0.7686499999999999
250,0.766975
240,0.77
230,0.767775
220,0.768525
210,0.7665
200,0.770575
190,0.7687
180,0.7683249999999999
170,0.767775
160,0.764775
150,0.765925
140,0.7658750000000001
130,0.768675
120,0.766775
110,0.767775
100,0.7702
90,0.76605
80,0.764625
70,0.7569999999999999
60,0.755425
50,0.7536
40,0.751725
30,0.7518499999999999
20,0.7433000000000001
10,0.72285
