Feature Selection Intensity,F1-score
400,0.77195
390,0.7721500000000001
380,0.7721250000000001
370,0.772275
360,0.77305
350,0.77275
340,0.77305
330,0.7740250000000001
320,0.7744000000000001
310,0.773475
300,0.773025
290,0.773575
280,0.77325
270,0.775375
260,0.774
250,0.773025
240,0.772625
230,0.77195
220,0.773525
210,0.772575
200,0.773825
190,0.7724
180,0.773425
170,0.775025
160,0.7745249999999999
150,0.772975
140,0.77455
130,0.7743
120,0.7743249999999999
110,0.7726999999999999
100,0.771825
90,0.771925
80,0.7705
70,0.77195
60,0.770725
50,0.770375
40,0.769275
30,0.7629250000000001
20,0.7650750000000001
10,0.7602249999999999
