Feature Selection Intensity,F1-score
400,0.773525
390,0.77
380,0.7684
370,0.76585
360,0.764525
350,0.7671
340,0.767575
330,0.7679500000000001
320,0.774625
310,0.7749249999999999
300,0.76805
290,0.7605
280,0.759425
270,0.760075
260,0.7618750000000001
250,0.764825
240,0.7593500000000001
230,0.7569999999999999
220,0.757125
210,0.7574500000000001
200,0.7547750000000001
190,0.75575
180,0.751
170,0.749475
160,0.7486750000000001
150,0.745925
140,0.7393750000000001
130,0.74305
120,0.7397499999999999
110,0.7433500000000001
100,0.741325
90,0.7329
80,0.7393000000000001
70,0.7399749999999999
60,0.7490249999999999
50,0.75415
40,0.7484249999999999
30,0.74835
20,0.74885
10,0.7372249999999999
