Feature Selection Intensity,F1-score
390,0.7744500000000001
380,0.7744500000000001
370,0.7744500000000001
360,0.7744500000000001
350,0.7744500000000001
340,0.7744500000000001
330,0.7744500000000001
320,0.7744500000000001
310,0.7744500000000001
300,0.7744500000000001
290,0.7744500000000001
280,0.7744500000000001
270,0.7744500000000001
260,0.7744500000000001
250,0.7743
240,0.7743
230,0.77415
220,0.773675
210,0.7728499999999999
200,0.77325
190,0.7742
180,0.77435
170,0.7740750000000001
160,0.7741250000000001
150,0.774775
140,0.773475
130,0.77375
120,0.7736750000000001
110,0.7743499999999999
100,0.776125
90,0.775225
80,0.774175
70,0.776325
60,0.77465
50,0.772725
40,0.772875
30,0.7721750000000001
20,0.76895
10,0.763525
