Feature Selection Intensity,F1-score
400,0.7744500000000001
390,0.77535
380,0.7747249999999999
370,0.775875
360,0.773375
350,0.7742500000000001
340,0.772775
330,0.771325
320,0.7801250000000001
310,0.7768499999999999
300,0.777975
290,0.773225
280,0.77105
270,0.7687
260,0.767875
250,0.7644500000000001
240,0.7636499999999999
230,0.7610250000000001
220,0.758575
210,0.7621249999999999
200,0.758525
190,0.759825
180,0.759275
170,0.759775
160,0.76305
150,0.7625249999999999
140,0.76545
130,0.764425
120,0.7633999999999999
110,0.757325
100,0.7567999999999999
90,0.7537750000000001
80,0.74845
70,0.7503
60,0.7459749999999999
50,0.747425
40,0.7505499999999999
30,0.74915
20,0.7513500000000001
10,0.7397750000000001
