Feature Selection Intensity,F1-score
340,0.746975
330,0.745125
320,0.745575
310,0.7476750000000001
300,0.7471
290,0.7543
280,0.754275
270,0.7438
260,0.7419499999999999
250,0.7366499999999999
240,0.741
230,0.732825
220,0.736275
210,0.7396750000000001
200,0.7383000000000001
190,0.742
180,0.739525
170,0.739475
160,0.743775
150,0.7511750000000001
140,0.7524
130,0.7424999999999999
120,0.740625
110,0.732975
100,0.732425
90,0.7397750000000001
80,0.7407250000000001
70,0.7397
60,0.74865
50,0.756775
40,0.7549750000000002
30,0.74705
20,0.7476
10,0.7501749999999999
