F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Var_Threshold,resampling
0.7805,0.787,0.7775,0.8005,RF,401,Max-absoluteScaler,None,TRUE,TRUE
0.7821,0.7827,0.7846,0.8007,RF,160,Max-absoluteScaler,kbf,TRUE,TRUE
0.7796,0.7834,0.7792,0.799,RF,240,Max-absoluteScaler,rf,TRUE,TRUE
0.7642,0.7445,0.7883,0.7782,RF,20,Max-absoluteScaler,pca,TRUE,TRUE
0.7491,0.757,0.7446,0.7723,MLP,401,PowerTransformer,None,TRUE,FALSE
0.7568,0.7701,0.7467,0.7809,MLP,50,PowerTransformer,kbf,TRUE,FALSE
0.7634,0.7794,0.7517,0.7879,MLP,160,PowerTransformer,rf,TRUE,FALSE
0.7554,0.7595,0.7538,0.7768,MLP,120,PowerTransformer,pca,TRUE,FALSE
0.7828,0.7634,0.8054,0.7961,SVM,401,QuantileTransformer_Uniform,None,TRUE,TRUE
0.7864,0.7661,0.8101,0.7993,SVM,160,QuantileTransformer_Uniform,kbf,TRUE,TRUE
0.7838,0.7664,0.8046,0.7978,SVM,40,QuantileTransformer_Uniform,rf,TRUE,TRUE
0.7836,0.7723,0.7975,0.7989,SVM,40,QuantileTransformer_Uniform,pca,TRUE,TRUE
0.7744,0.762,0.7896,0.79,KNN,401,QuantileTransformer_Uniform,None,FALSE,FALSE
0.7749,0.7798,0.7725,0.7954,KNN,310,QuantileTransformer_Uniform,kbf,FALSE,FALSE
0.7801,0.7794,0.7839,0.7981,KNN,320,QuantileTransformer_Uniform,rf,FALSE,FALSE
0.7763,0.7622,0.7937,0.7911,KNN,70,QuantileTransformer_Uniform,pca,FALSE,FALSE
0.7498,0.6557,0.8892,0.7269,LGR,401,Normalisation,None,FALSE,FALSE
0.76,0.672,0.8867,0.7416,LGR,250,Normalisation,kbf,FALSE,FALSE
0.7658,0.6877,0.8758,0.7532,LGR,140,Normalisation,rf,FALSE,FALSE
0.766,0.7219,0.8276,0.7691,LGR,40,Normalisation,pca,FALSE,FALSE
0.7093,0.7032,0.7192,0.7323,DT,401,QuantileTransformer_Normal,None,FALSE,TRUE
0.7153,0.7112,0.7233,0.7391,DT,270,QuantileTransformer_Normal,kbf,FALSE,TRUE
0.7186,0.7177,0.7226,0.7426,DT,30,QuantileTransformer_Normal,rf,FALSE,TRUE
0.6875,0.6885,0.6896,0.7145,DT,40,QuantileTransformer_Normal,pca,FALSE,TRUE
0.7788,0.7691,0.7916,0.7946,R,401,QuantileTransformer_Uniform,None,TRUE,TRUE
0.7883,0.7695,0.8112,0.8015,R,180,QuantileTransformer_Uniform,kbf,TRUE,TRUE
0.7878,0.7724,0.8067,0.8019,R,220,QuantileTransformer_Uniform,rf,TRUE,TRUE
0.7917,0.7794,0.8071,0.8061,R,20,QuantileTransformer_Uniform,pca,TRUE,TRUE
0.7733,0.7298,0.8295,0.7778,XG,401,Normalisation,None,FALSE,TRUE
0.7746,0.7154,0.8509,0.7732,XG,230,Normalisation,kbf,FALSE,TRUE
0.7748,0.7308,0.8316,0.7791,XG,370,Normalisation,rf,FALSE,TRUE
0.75,0.696,0.8179,0.751,XG,50,Normalisation,pca,FALSE,TRUE
0.7722,0.7216,0.8333,0.7751,GPC,401,Normalisation,None,FALSE,FALSE
0.7754,0.7137,0.8513,0.7742,GPC,270,Normalisation,kbf,FALSE,FALSE
0.7736,0.7141,0.8483,0.7725,GPC,320,Normalisation,rf,FALSE,FALSE
0.773,0.7229,0.8333,0.776,GPC,90,Normalisation,pca,FALSE,FALSE
0.7581,0.7456,0.7737,0.7748,ADA,401,QuantileTransformer_Uniform,None,TRUE,TRUE
0.7641,0.7493,0.7833,0.78,ADA,200,QuantileTransformer_Uniform,kbf,TRUE,TRUE
0.7642,0.7548,0.7766,0.7819,ADA,210,QuantileTransformer_Uniform,rf,TRUE,TRUE
0.7375,0.7237,0.7546,0.7551,ADA,20,QuantileTransformer_Uniform,pca,TRUE,TRUE
0.7745,0.783,0.7692,0.7958,GB,401,QuantileTransformer_Normal,None,TRUE,FALSE
0.7743,0.7809,0.7704,0.7953,GB,260,QuantileTransformer_Normal,kbf,TRUE,FALSE
0.7716,0.7789,0.7675,0.793,GB,280,QuantileTransformer_Normal,rf,TRUE,FALSE
0.7536,0.7641,0.7471,0.7776,GB,50,QuantileTransformer_Normal,pca,TRUE,FALSE
