Feature Selection Intensity,F1-score
340,0.778825
330,0.778975
320,0.7792
310,0.77905
300,0.778975
290,0.7788999999999999
280,0.7788999999999999
270,0.778425
260,0.778725
250,0.7788999999999999
240,0.7792749999999999
230,0.77805
220,0.778475
210,0.7778499999999999
200,0.778175
190,0.778125
180,0.777925
170,0.77705
160,0.7785
150,0.7777000000000001
140,0.7774
130,0.778825
120,0.779075
110,0.777825
100,0.77785
90,0.778375
80,0.77845
70,0.7825749999999999
60,0.781725
50,0.7827999999999999
40,0.790775
30,0.787075
20,0.7916749999999999
10,0.7812749999999999
