Feature Selection Intensity,F1-score
340,0.36635
330,0.37367500000000003
320,0.371425
310,0.39585000000000004
300,0.4495750000000001
290,0.46922500000000006
280,0.48955000000000004
270,0.52545
260,0.571675
250,0.5972
240,0.63235
230,0.6472
220,0.67065
210,0.681525
200,0.699525
190,0.702325
180,0.7119249999999999
170,0.731475
160,0.7285999999999999
150,0.7373
140,0.7433500000000001
130,0.7438
120,0.750125
110,0.7532
100,0.75305
90,0.75595
80,0.755725
70,0.756075
60,0.754275
50,0.755325
40,0.756375
30,0.7575000000000001
20,0.76425
10,0.7627750000000001
