Feature Selection Intensity,F1-score
400,0.7497999999999999
390,0.7495
380,0.7505
370,0.7478
360,0.752375
350,0.7467
340,0.746525
330,0.73925
320,0.733
310,0.7308749999999999
300,0.7299749999999999
290,0.731475
280,0.731825
270,0.7322749999999999
260,0.73415
250,0.7332
240,0.736375
230,0.7352000000000001
220,0.74
210,0.738875
200,0.741975
190,0.7516
180,0.753625
170,0.75145
160,0.7563000000000001
150,0.7624000000000001
140,0.765775
130,0.7621249999999999
120,0.7575749999999999
110,0.759525
100,0.758475
90,0.7579
80,0.763875
70,0.7493000000000001
60,0.729325
50,0.722075
40,0.72285
30,0.716875
20,0.71655
10,0.7054
