Feature Selection Intensity,F1-score
340,0.78415
330,0.784975
320,0.7833500000000001
310,0.7837
300,0.784025
290,0.7847500000000001
280,0.785525
270,0.78305
260,0.78115
250,0.7806000000000001
240,0.78
230,0.781275
220,0.7814500000000001
210,0.78085
200,0.781325
190,0.7833
180,0.7854249999999999
170,0.7861
160,0.7864000000000001
150,0.7860250000000001
140,0.784625
130,0.78445
120,0.783825
110,0.78425
100,0.78385
90,0.782025
80,0.783425
70,0.78315
60,0.782525
50,0.782125
40,0.7820500000000001
30,0.7804
20,0.778425
10,0.7773749999999999
