Feature Selection Intensity,F1-score
340,0.78345
330,0.78345
320,0.782625
310,0.77995
300,0.7790750000000001
290,0.7791750000000001
280,0.77925
270,0.7793749999999999
260,0.7802999999999999
250,0.7803
240,0.7802
230,0.7800499999999999
220,0.7803
210,0.78015
200,0.779425
190,0.779225
180,0.778575
170,0.778775
160,0.7778500000000002
150,0.777525
140,0.77755
130,0.77795
120,0.7787499999999999
110,0.77905
100,0.7783749999999999
90,0.7785249999999999
80,0.781275
70,0.783575
60,0.78345
50,0.78265
40,0.7838
30,0.7833500000000001
20,0.7808999999999999
10,0.7798499999999999
