Feature Selection Intensity,F1-score
400,0.772725
390,0.76875
380,0.7662500000000001
370,0.7648250000000001
360,0.767
350,0.764275
340,0.7697499999999999
330,0.7683500000000001
320,0.7691
310,0.771075
300,0.7656499999999999
290,0.768575
280,0.76765
270,0.7658
260,0.7677750000000001
250,0.762275
240,0.766525
230,0.774575
220,0.771875
210,0.7675
200,0.7687250000000001
190,0.7688
180,0.7670250000000001
170,0.7623
160,0.76605
150,0.7630250000000001
140,0.764475
130,0.76685
120,0.7687250000000001
110,0.764025
100,0.763525
90,0.762525
80,0.76705
70,0.7584500000000001
60,0.7659750000000001
50,0.7562000000000001
40,0.759525
30,0.7514
20,0.739625
10,0.7224
