Feature Selection Intensity,F1-score
340,0.7585
330,0.7592749999999999
320,0.7565
310,0.7540250000000001
300,0.756025
290,0.7590250000000001
280,0.7609
270,0.7586
260,0.75835
250,0.754675
240,0.752175
230,0.7533999999999998
220,0.761925
210,0.7642249999999999
200,0.756625
190,0.7578750000000001
180,0.7588
170,0.757125
160,0.75865
150,0.7630250000000001
140,0.761625
130,0.75895
120,0.758025
110,0.756625
100,0.7566499999999999
90,0.75095
80,0.7547
70,0.7508250000000001
60,0.744425
50,0.7449250000000001
40,0.73785
30,0.747225
20,0.7427250000000001
10,0.7409749999999999
