Feature Selection Intensity,F1-score
400,0.7053499999999999
390,0.70605
380,0.7025750000000001
370,0.70685
360,0.704925
350,0.7051999999999999
340,0.714275
330,0.7082499999999999
320,0.712525
310,0.709525
300,0.71215
290,0.711
280,0.7088
270,0.7152749999999999
260,0.711675
250,0.713675
240,0.7146000000000001
230,0.7091749999999999
220,0.706025
210,0.7069
200,0.70415
190,0.7062
180,0.7151
170,0.713275
160,0.71065
150,0.7090500000000001
140,0.711475
130,0.70565
120,0.711275
110,0.7132999999999999
100,0.71205
90,0.708275
80,0.705575
70,0.705075
60,0.70965
50,0.7048499999999999
40,0.70275
30,0.7041499999999999
20,0.699675
10,0.6856500000000001
