Feature Selection Intensity,F1-score
390,0.7722
380,0.7722
370,0.7722
360,0.7722
350,0.7722
340,0.7722
330,0.7722
320,0.7720499999999999
310,0.7720499999999999
300,0.7722
290,0.7722
280,0.7722
270,0.7722
260,0.7722
250,0.7722
240,0.7720499999999999
230,0.7722
220,0.7722
210,0.7722
200,0.77195
190,0.77235
180,0.7719
170,0.7719
160,0.7719
150,0.771875
140,0.772025
130,0.772325
120,0.7712749999999999
110,0.771525
100,0.772325
90,0.772975
80,0.7726000000000001
70,0.77205
60,0.7717750000000001
50,0.770225
40,0.7698750000000001
30,0.7692249999999999
20,0.76995
10,0.7668999999999999
