Feature Selection Intensity,F1-score
400,0.77195
390,0.7718999999999999
380,0.7721
370,0.77295
360,0.773475
350,0.7718
340,0.772525
330,0.7734000000000001
320,0.77365
310,0.7722249999999999
300,0.768375
290,0.769425
280,0.770525
270,0.77
260,0.7696500000000001
250,0.7685000000000001
240,0.770675
230,0.7678999999999999
220,0.7683249999999999
210,0.7679
200,0.7677750000000001
190,0.767925
180,0.7695500000000001
170,0.768825
160,0.7679750000000001
150,0.7670999999999999
140,0.765625
130,0.7655
120,0.76245
110,0.7621749999999999
100,0.757475
90,0.7527
80,0.746075
70,0.736375
60,0.7301
50,0.7259
40,0.72005
30,0.7119249999999999
20,0.699325
10,0.6648
