Feature Selection Intensity,F1-score
340,0.7469250000000001
330,0.746725
320,0.7435
310,0.746425
300,0.7462
290,0.746075
280,0.7485250000000001
270,0.742475
260,0.7484
250,0.7489750000000001
240,0.7477250000000001
230,0.7410500000000001
220,0.749375
210,0.7471249999999999
200,0.74045
190,0.748
180,0.7472749999999999
170,0.7496499999999999
160,0.7513500000000001
150,0.752
140,0.7473
130,0.7476
120,0.755425
110,0.7441
100,0.7458
90,0.74355
80,0.7464000000000001
70,0.7422
60,0.73995
50,0.742675
40,0.7433
30,0.737075
20,0.743675
10,0.7235750000000001
