Feature Selection Intensity,F1-score
340,0.745925
330,0.748725
320,0.74535
310,0.7487999999999999
300,0.750625
290,0.7545499999999999
280,0.7582000000000001
270,0.7520749999999999
260,0.7522249999999999
250,0.7551249999999999
240,0.7534750000000001
230,0.7524
220,0.7576750000000001
210,0.7586250000000001
200,0.757625
190,0.758075
180,0.760675
170,0.759425
160,0.76345
150,0.7543
140,0.757625
130,0.75905
120,0.7525999999999999
110,0.7485250000000001
100,0.7478
90,0.743425
80,0.7381
70,0.723025
60,0.726975
50,0.7343
40,0.74455
30,0.733475
20,0.728125
10,0.735925
