Feature Selection Intensity,F1-score
340,0.77995
330,0.7822250000000001
320,0.7816500000000001
310,0.7807499999999999
300,0.781025
290,0.782475
280,0.781525
270,0.7815000000000001
260,0.780475
250,0.781025
240,0.7801750000000001
230,0.7794749999999999
220,0.781
210,0.7813
200,0.78165
190,0.783075
180,0.78835
170,0.785575
160,0.7847500000000001
150,0.7812250000000001
140,0.782625
130,0.782875
120,0.7802250000000001
110,0.7811
100,0.7780250000000001
90,0.7791750000000001
80,0.780575
70,0.7819499999999999
60,0.78085
50,0.7823
40,0.7827999999999999
30,0.7832
20,0.7797750000000001
10,0.779475
